 	che	consuma	poco	benzina	</S>
n	0.9414691	0.027531744	0.00799369135	0.022821693523	0.00018379524
a	0.639700326667	0.312402228	0.02442730245	0.0230021469877	0.000468036466667
k	0.529327835556	0.402268862667	0.03999786515	0.0271311011426	0.00127434795556
o	0.470789667519	0.371154094222	0.12590478505	0.0292978314809	0.00285361498519
n	0.397957061506	0.354197449074	0.185175635017	0.057920280927	0.00474956366173
s	0.377866104502	0.132519542025	0.408397518339	0.077465341309	0.00375148789891
u	0.134656023267	0.0807901320083	0.72031335278	0.051088167103	0.013152309978
m	0.103450068856	0.0517247664361	0.653583650927	0.172183668034	0.0190578219927
è	0.092872815272	0.024052965912	0.655538483642	0.208221282011	0.0193144786642
t	0.0376867574107	0.0145213530707	0.707693527881	0.22339754667	0.0167008592681
s	0.0295054731369	0.0166420574569	0.676336699294	0.27173422889	0.00578153157603
i	0.0203450641456	0.0219203684856	0.517218689765	0.371181822963	0.069334034632
a	0.0081582868152	0.0152121396285	0.214771697922	0.632681174321	0.129176701544
l	0.0118867006051	0.00797668134283	0.086025784974	0.808674158107	0.0854366771813
ì	0.0121024464217	0.00407616324761	0.0347101859913	0.902577452702	0.0465337777271
o	0.0056238751939	0.00281489551587	0.0127168346638	0.877292217567	0.101552221242
b	0.0166196625646	0.00200367727196	0.00590022888793	0.863337139189	0.112139337414
e	0.0191448084882	0.00206363932399	0.00373322692931	0.819150563063	0.155907799471
n	0.0245324097961	0.003898065008	0.00269307627644	0.772275347688	0.19660111649
z	0.028307622032	0.00582535046933	0.00430543355881	0.854743645896	0.106817948497
ì	0.0133896907107	0.00460030822311	0.00439332735294	0.648212825299	0.329403819166
n	0.0120299408369	0.0083584568077	0.00670227081765	0.542494698433	0.430414601389
a	0.0103948143123	0.00936201366923	0.00744872440588	0.465776092811	0.50701836213
</S>	0.00587986620615	0.00526805893461	0.00462378490294	0.238348486406	0.745879831065
