 	era	molto	stanco	</S>
ì	0.962694405	0.0339628335	0.002055191035	0.00128759876
o	0.974301385	0.0243513635	0.000908735041667	0.000438576022667
n	0.745549515	0.222433437833	0.0316804982206	0.000336583170222
e	0.502142751667	0.445894635944	0.0500260634069	0.00193652455674
p	0.390217833889	0.447711488648	0.159547438469	0.00252321681891
o	0.23969371463	0.509578899549	0.24602160949	0.00470576397297
d	0.160557214877	0.493147706516	0.340593446497	0.00570162999099
d	0.0873000212923	0.527511592172	0.382351068832	0.002837345797
h	0.0331589343308	0.692295630724	0.273120722944	0.001424764159
ì	0.0121938720769	0.527491366908	0.434768327648	0.0255464739797
s	0.0203452684256	0.317097605636	0.628285152549	0.0342719993932
t	0.0382433674752	0.424280075212	0.517678017516	0.0197985481977
r	0.0359424864917	0.396624903737	0.550917565839	0.0165150243992
à	0.0196690659639	0.169176937579	0.522384391946	0.2887695928
k	0.0069091035213	0.065595060193	0.546600750649	0.380895060267
k	0.0178749012404	0.045378858731	0.74970588355	0.187040332756
o	0.0215718130968	0.0300437252537	0.536397384517	0.411987074252
</S>	0.0111657580734	0.0151419281418	0.327872077259	0.645820237126
