 	mio	padre	ha	lavorato	sempre	</S>
o	0.910088725	0.0894547275	0.000332334155	9.9935925e-05	3.2161758e-06	2.10861875e-05
c	0.604996195	0.393222119167	0.00170725519833	5.4335886e-05	8.30025126667e-06	1.18001881667e-05
i	0.368207345	0.611729273056	0.0189540847328	0.00106500182967	3.66701090889e-05	7.62114205557e-06
ù	0.392928028333	0.579450111019	0.0259643282443	0.00160300338989	4.50888870296e-05	9.39341835186e-06
r	0.272894206111	0.63368669034	0.0755258894148	0.01351593771	0.00436733839301	9.89352878395e-06
i	0.115426579037	0.73861781678	0.117186543138	0.02185620357	0.00587403101434	0.00103877978526
m	0.042864508279	0.736533188927	0.200962297713	0.0147389115233	0.00351668622145	0.00138431228842
m	0.015496915393	0.728129792976	0.245136199238	0.00803910512443	0.00273086764048	0.000467033360023
u	0.00562581215433	0.563273338992	0.326977376413	0.0816636003248	0.00141089328016	0.0210489584239
è	0.00206631718144	0.378807874331	0.440616125471	0.144832496775	0.00300094992672	0.0306762964746
p	0.0131061438671	0.301936676444	0.467553575157	0.177553115592	0.0263594363089	0.0134911132915
o	0.017394558389	0.122510280815	0.398130291719	0.409475705197	0.041741112103	0.0107480812305
l	0.008739911763	0.050749230605	0.25219936724	0.609119901732	0.0682831420343	0.0109084714102
e	0.00531508568767	0.0228759008017	0.156563528747	0.688199280577	0.104495664011	0.0225505301367
m	0.00234630626256	0.00935367576723	0.0609309315823	0.803285673526	0.0941451066703	0.0299383050456
i	0.00134704587419	0.00544355695574	0.0267242918608	0.775154074509	0.15080912089	0.0405219290152
m	0.00141608254473	0.00405478491858	0.0131474782869	0.702101974836	0.214145426963	0.0651342926717
m	0.00153617509491	0.00219497577286	0.0084430945623	0.731170024945	0.207245242321	0.0494105279906
è	0.00246098134497	0.00587965925762	0.00618269412077	0.526108862982	0.204911124107	0.254456681764
n	0.00488977121499	0.00709645168587	0.0293475941736	0.219417344327	0.416434984702	0.322813871788
a	0.00577769703833	0.00393294596196	0.0373144605912	0.103585544442	0.529699761567	0.319689635129
p	0.00646506154611	0.00282666392065	0.0164478970637	0.047976565814	0.602493087189	0.32379077471
à	0.0056090138487	0.00208657950688	0.00899056062123	0.023548517938	0.80026629573	0.15949905457
n	0.0061898112829	0.00152684435229	0.00594484347374	0.0128543833127	0.86859223191	0.104891874857
t	0.0611721994276	0.00220625890076	0.0110333904912	0.00652153320423	0.78560754397	0.133459081619
a	0.0804017524759	0.00516217263359	0.0110136852304	0.00380319076808	0.460148751323	0.43947048054
</S>	0.047073865238	0.0067846083168	0.0064891502152	0.00318501378404	0.261736230661	0.67473117027
