 	Marika	tu	hai	mangiato	</S>
M	0.94956058	0.024805419	0.01122951515	0.013311634185	0.00109283275
a	0.931746436667	0.0415879213333	0.0124436697833	0.013335868105	0.00088603751
r	0.637650432889	0.235745081444	0.112418143328	0.0115080034117	0.00267826143
ì	0.235051484963	0.504840583815	0.227217261109	0.0160021434706	0.0168884991433
k	0.0879148421543	0.394703211605	0.475273627036	0.0227438811569	0.0193644784544
a	0.0344015502181	0.259550820868	0.612012315679	0.0407225190523	0.0533128215581
e	0.0159559467394	0.217932092956	0.522586321893	0.111693099684	0.131832507186
s	0.0071169610998	0.0796549140187	0.588475417298	0.211030583228	0.113722111062
ù	0.00300069965327	0.0329359563729	0.509137862433	0.404285471076	0.0506400090207
è	0.00151702116109	0.0170977609576	0.259459985144	0.686164123692	0.0357611070069
f	0.022382494897	0.00710041405253	0.120506649381	0.814737694564	0.0352727373356
e	0.0314008409657	0.00419739231751	0.0655166587937	0.692952171521	0.205932940112
</S>	0.0189554524829	0.00394851825875	0.0343445728969	0.570601365761	0.372150120056
