 	che	non	li	aspettiamo	</S>
n	0.94660145	0.0226170861	0.0286458067	0.00199937423	0.000136339335
a	0.633428893333	0.0605393267	0.302417922233	0.00297247654333	0.000641432228333
m	0.498900274444	0.0682986812333	0.421261407411	0.0105845124478	0.000955168942778
i	0.440339026481	0.0533243470778	0.49178630247	0.0133581204826	0.00119224454759
t	0.40059169716	0.0403611580259	0.528392704157	0.0290897398275	0.0015646934492
u	0.384192263153	0.020799801342	0.531787271386	0.0589681132758	0.00425250708307
s	0.205766775151	0.016274030114	0.540467787129	0.227083481092	0.0104078896944
m	0.14648280005	0.009924979038	0.55820972571	0.276144281031	0.00923819421147
ì	0.0496600531067	0.00683567267933	0.61807274857	0.19855384101	0.12687768205
n	0.273356122459	0.0204247865598	0.367947412857	0.171266869337	0.16700479895
o	0.34791198992	0.0224132213766	0.169690300952	0.322948885446	0.137035587917
m	0.160292222407	0.0106236913155	0.0914580136507	0.586944561815	0.150681499306
e	0.097657788929	0.0066897161485	0.0627669268836	0.645078653938	0.187806916435
</S>	0.0489485266545	0.00379504013925	0.0336439369418	0.650201076969	0.263411438218
