 	il	medico	mi	ha	detto	che	non	devo	mangiare	dolci	perché	mi	fanno	male	a	me	mi	piacciono	e	li	mangio	</S>
o	0.651316345	0.3022397415	0.0182998105	0.02309348745	0.00310694478	0.0004082023815	0.00021846997495	7.069583375e-05	0.0001098892235	9.8340466815e-05	3.3367070265e-05	1.989919202e-05	0.00030029168934	0.0001268188816	1.8989151935e-05	2.9800016525e-05	1.5404149385e-05	0.00037209025223	5.145360885e-05	1.8612530615e-05	2.9555961115e-05	2.1781815285e-05
m	0.436081448333	0.505420097167	0.0169523061	0.0357358284833	0.00336911899333	0.000466779453833	0.000222752340317	8.04165295833e-05	0.0003032502145	0.000172572905605	0.000173020422088	2.12325430067e-05	0.00030247979458	0.000135032811867	1.94261991117e-05	3.03363048417e-05	1.58580938617e-05	0.00037258857051	5.19890841833e-05	1.9336660605e-05	3.0063540405e-05	2.40845232283e-05
e	0.272676989444	0.669982855722	0.0101195996333	0.0411292174944	0.00434202029778	0.000456338911278	0.000177197065439	5.35011281944e-05	0.0003138171155	0.000145262945202	0.000199878069463	8.9898125689e-06	0.000122881476327	6.59586686223e-05	7.1703889839e-06	1.10678364139e-05	5.98425781057e-06	0.000132717818603	1.93473746278e-05	7.59553768833e-06	1.08585548117e-05	1.07997097528e-05
s	0.140123561481	0.809608461907	0.00781182973777	0.0362101521648	0.00484072966593	0.000480095193759	0.000180559665146	6.53392793981e-05	0.0002116525125	0.000104737101734	0.000144090418588	4.2362918563e-06	6.77886254423e-05	4.98755408741e-05	3.3340887413e-06	4.9226164713e-06	2.21456500686e-06	5.3293267701e-05	8.98567520927e-06	3.81578278278e-06	4.87784754723e-06	1.54924417943e-05
s	0.0718712934937	0.876530640636	0.00302208667259	0.0434499890549	0.00367687378864	0.000428207054586	9.91748717153e-05	6.56207681327e-05	0.000513304750833	9.83521039113e-05	0.000129879173529	2.29050439877e-06	2.99640821941e-05	3.2059130858e-05	1.9073412191e-06	2.54982206543e-06	8.33007048953e-07	1.89036489583e-05	4.19460130376e-06	2.32211121759e-06	2.72801910241e-06	1.68157168981e-05
è	0.0253863609726	0.756049236879	0.0371646207909	0.145355119685	0.0329651572629	0.00199525325153	0.000256802430572	9.64780643776e-05	0.000553878593611	6.25719256371e-05	5.33046221763e-05	2.38595467959e-06	1.25554685114e-05	1.39912000193e-05	1.0752421117e-06	1.16281223014e-06	9.46954316318e-07	8.11631801077e-06	2.50401376859e-06	2.12559389586e-06	1.30347830414e-06	1.5005744266e-05
r	0.0109403975655	0.645518182293	0.0485577811636	0.225128616562	0.0625627490876	0.00506923351718	0.000526310820191	0.000299920124793	0.00063251350787	0.000292654076212	0.000333138764392	2.39700077986e-06	3.19066669038e-05	7.48514705064e-05	9.85199237233e-07	1.08928004338e-06	9.89573141439e-07	5.42650800359e-06	3.00724158953e-06	2.46970629862e-06	9.03724484713e-07	1.44487170353e-05
e	0.0061133255185	0.457337669098	0.132377107955	0.233033338854	0.153921286363	0.0127177401724	0.0018508093634	0.000660095854931	0.000801485602623	0.000429475345404	0.000442366314797	9.22636361329e-06	7.66876289679e-05	0.000125157930169	2.65131904574e-06	2.67533034779e-06	3.36295204981e-06	2.94679085345e-05	9.85301309651e-06	7.41974476621e-06	2.25283366157e-06	4.65234956251e-05
m	0.00437313790283	0.436256251366	0.160473972718	0.197591929618	0.179121532121	0.0146172539908	0.0024569923878	0.00106905248498	0.00140777293421	0.000735273055135	0.00130118366493	1.31459458711e-05	0.000143314349656	0.000278547936723	5.60785211525e-06	5.85155831593e-06	4.2487045266e-06	3.89996635115e-05	1.42494635322e-05	1.19587929221e-05	4.75664232052e-06	7.49465762084e-05
u	0.00377434971694	0.422591238255	0.118872314306	0.212298149873	0.20752056404	0.0253493265969	0.0035083265626	0.00138561199499	0.00167090754474	0.000813439568378	0.00158036532431	2.07452896237e-05	0.000129159848885	0.000306080913574	7.24811437175e-06	6.50406477198e-06	6.50633018553e-06	1.91659865038e-05	1.33280413441e-05	1.62434823074e-05	5.28545594017e-06	0.000105110909736
p	0.0212775824883	0.232962233885	0.105008244635	0.225105449958	0.332587238013	0.063448059199	0.0059165278542	0.00330056853166	0.00332055404825	0.00151830150613	0.0036764849441	2.37952543746e-05	0.000322598421962	0.00109095497252	3.03643834573e-05	3.3198041924e-05	7.66534539518e-06	1.71318068346e-05	2.7907131448e-05	4.76088687691e-05	1.44775114801e-05	0.000263012629912
e	0.0271372347561	0.168175890148	0.0511486580783	0.139791798319	0.411459969338	0.163192204733	0.0188524889514	0.00570216851055	0.00531275468275	0.00234202236871	0.00441613917137	2.12001519582e-05	0.000493673023987	0.00141698318417	3.62433200858e-05	4.20548919747e-05	4.48541156506e-06	6.55068102782e-05	5.36972641493e-05	5.6628904923e-05	1.69174451934e-05	0.000261256424304
k	0.0096647648787	0.0691045455693	0.0332011686261	0.082594789773	0.524847423113	0.224265808244	0.0254503583171	0.00911248650352	0.00829500769425	0.00379501675624	0.00718337758046	2.74685553194e-05	0.000513588341329	0.00142857615472	1.81119476286e-05	2.10457366582e-05	3.27397095502e-06	7.96244970927e-05	5.63949210498e-05	4.14346503077e-05	8.6815240978e-06	0.000287064539101
a	0.00384142320623	0.0361166686431	0.018198991142	0.0448940839243	0.498701284371	0.314538969415	0.0427192981057	0.0141063358345	0.0113152835647	0.00442101955208	0.00819100330015	0.00013666721544	0.000529287780443	0.00146616838491	1.82009562095e-05	1.79499085527e-05	1.71856486517e-05	0.000184825799364	0.00010692107535	8.28584967692e-05	8.5570730326e-06	0.0003870290297
e	0.00173220111541	0.012418494701	0.014253467514	0.0237861103081	0.293014311457	0.362771789805	0.174267072702	0.0488331386115	0.0250656191882	0.0203106709507	0.00479129740672	0.00055536453848	0.00196748562681	0.0048553421283	0.00012577333707	0.000204180722851	0.000106051164884	0.00332413123979	0.00577491890845	0.00122097266892	0.000133275275678	0.000488334093233
n	0.00277816253847	0.0123053899337	0.00671689670467	0.016363042436	0.227862877152	0.319822649935	0.197929477567	0.0716009145372	0.0564166273961	0.0370535303169	0.0206548140022	0.000592451432827	0.00347909270894	0.0113098750428	0.000188717319023	0.000303430214284	0.000120659662628	0.00423079866593	0.00761949397615	0.00157833700764	0.000175653105559	0.000897101631078
è	0.00273730889616	0.0121866116379	0.00368092590156	0.0109239391453	0.199503304717	0.395521723312	0.146206495856	0.0649209798457	0.0825720857987	0.0339911697723	0.0249613057007	0.00114890136428	0.00266783356965	0.00966861768093	0.000202380063008	0.000197830371428	0.000256526055209	0.00305380314131	0.00352301359872	0.00112881092055	0.00011720984552	0.000829209043693
n	0.00152935551539	0.00538915987263	0.00319062696719	0.00766831604843	0.107712085572	0.348359327771	0.153514751952	0.112500633282	0.156505461933	0.0640356929241	0.0196852169336	0.00132134712309	0.00301603145655	0.00861719289364	0.000202112677669	0.000154169077143	0.000301400900703	0.00268545556377	0.00222412445957	0.000954996720183	9.647303384e-05	0.000336068161564
a	0.00113432105346	0.00332775909088	0.00259073828906	0.00638399704948	0.0639921659573	0.202830909257	0.207261300651	0.189142101094	0.200297310644	0.0761383509747	0.0187616104779	0.00554476230936	0.00352287575218	0.00880086976455	0.000275337572556	0.000190682789048	0.000618114435868	0.00306326237126	0.00275990204652	0.00208172812006	9.200405328e-05	0.00118991443419
f	0.000925011199487	0.00270040949696	0.00168412841635	0.00384036638316	0.0502851910858	0.157780669752	0.202423940884	0.202189317031	0.191619050215	0.0771316083249	0.0671871449926	0.00706291135312	0.00442991451739	0.0183120660548	0.000358956660852	0.000272234026349	0.000725957670956	0.00322582692709	0.00314865614884	0.00277360069335	9.790338776e-05	0.0018251462114
à	0.000846115883162	0.00237204158565	0.000973829568783	0.00269670446105	0.0443338263619	0.116173821251	0.130839784295	0.195373692344	0.263997623405	0.101845174108	0.0864474303309	0.00884552836771	0.00508040707246	0.0221775224849	0.000695213400284	0.000413587172116	0.00136092121599	0.00615261211236	0.00439125778295	0.00358326301778	0.000216245532587	0.00118342988713
o	0.00133221561105	0.00168641821522	0.000578759422928	0.00133073208702	0.015734280434	0.0568094932503	0.121823474765	0.191138260781	0.274077574468	0.157700284703	0.0674310371103	0.0122821207892	0.0111143505908	0.0341814699616	0.00125214930009	0.00103593067071	0.002238036072	0.0220887800375	0.0172491214277	0.00710656313926	0.000540126860862	0.00126889231238
