 	venne	scritto	</S>
ì	0.99569765	0.000979662425	0.003322681165
r	0.921585766667	0.0470145883583	0.0313996574983
t	0.892315118889	0.0671744181194	0.0405104761434
e	0.641061980296	0.183064311373	0.175873723692
g	0.536056374099	0.232529537124	0.231414107897
r	0.4979232147	0.396863729041	0.105213101632
a	0.1793043819	0.54414432968	0.276551312877
m	0.0680722376333	0.333043753227	0.598884017626
m	0.0331336098778	0.206424474409	0.760441952542
è	0.0145650378593	0.124450910636	0.860984084181
n	0.237217253186	0.050997066712	0.71178570806
o	0.311898068495	0.026980581904	0.661121359353
</S>	0.157022710398	0.019480729452	0.823496544676
