 	le	canzoni	più	belle	sono	scritti	nella	notte	</S>
t	0.8578118	0.1360094889	0.00226336745	0.003892951505	1.15052239e-05	2.20916661e-06	3.94219915e-06	2.58785952e-06	2.09976295e-06
a	0.7074596	0.268458572967	0.0147894806167	0.00912218330167	0.000114753118633	2.57767738433e-05	1.284129015e-05	4.65759957333e-06	1.204656425e-05
t	0.691544666667	0.264791370989	0.0215806553722	0.0218136997672	0.000183155092878	3.79853532811e-05	1.86432107167e-05	6.01943365778e-06	2.37169320833e-05
r	0.576411875556	0.36646546033	0.0162548269574	0.0407054442557	0.000113337529293	1.76649236937e-05	9.69907720557e-06	4.50474823259e-06	1.71489729261e-05
a	0.265024091985	0.57141562011	0.117422814652	0.0448014307519	0.000708880688098	0.000373312305165	0.000128805269369	5.5549265242e-06	0.000119496545874
v	0.206685324128	0.489976940037	0.238452078217	0.0628935052506	0.00105604023937	0.000530878573722	0.00020597617479	1.04459101747e-05	0.000188830665291
ù	0.186737290709	0.430085580012	0.305880409406	0.0744109650835	0.00123879195646	0.00126647519657	0.000241253926597	1.46653687249e-05	0.000124593691764
d	0.110508686236	0.343964643337	0.382775083135	0.157625975028	0.00313612758549	0.00160135751552	0.000251547632199	4.12196909083e-05	9.5347630588e-05
i	0.084914616322	0.144547440112	0.556901517712	0.198915725009	0.00800918736183	0.00547432652184	0.000819543084066	7.05991569694e-05	0.000347004750196
a	0.0288878658173	0.0632545270373	0.703380872571	0.126412218336	0.0234736517873	0.0509696025073	0.00255829159469	0.00054981314899	0.000513140040065
p	0.0565574847391	0.0279475103458	0.510966627524	0.305557916112	0.0329232595958	0.0616466269491	0.0028321953649	0.00071847299633	0.000849920270022
l	0.069400309913	0.0163811551153	0.296226572508	0.565853992037	0.0276833665319	0.021747903963	0.00156245922163	0.000286442234443	0.000857807454674
è	0.0273188714543	0.0116169615718	0.291046167503	0.552095144012	0.0722286665106	0.0387212651877	0.00595866400721	0.000409981350481	0.000604280636225
o	0.0100921781348	0.00533529832393	0.297515729168	0.370921054671	0.146097968837	0.153251793396	0.0136100286691	0.00149709086683	0.00167886329874
n	0.0121133805449	0.00298955936464	0.202081806389	0.472189091557	0.134930458279	0.161099086499	0.011145048533	0.00157637518228	0.00187518025958
ò	0.0119948006516	0.00120204287155	0.0882578361297	0.491616430519	0.293901108093	0.101488017533	0.009540577821	0.00105370892076	0.00094546187986
r	0.00456305522053	0.000510475785517	0.0467036427099	0.442724563506	0.412590069364	0.0821715920777	0.009093248027	0.00115126296025	0.000492107943287
r	0.0123022086068	0.00175225153017	0.0469971209033	0.607935354502	0.285909423121	0.0406749135926	0.00349929607567	0.000736838600083	0.000192623315762
i	0.0143984906656	0.00217157462272	0.0407113756144	0.427465650167	0.329550574374	0.161455004531	0.0215370683386	0.000973735226694	0.00173655485659
a	0.00516990285187	0.000847395586907	0.0139201952515	0.152164748722	0.351839034791	0.417513144844	0.0477337971129	0.00723846617556	0.00357331571886
è	0.00248000441729	0.000571114828969	0.0054540929505	0.101690096241	0.344633298264	0.465525661615	0.0595498617043	0.0158414393919	0.00425442877295
r	0.00415881560576	0.000415316776323	0.00676985411683	0.11337893208	0.456933976088	0.345004333872	0.0485818945681	0.0215575347973	0.00319938114765
k	0.0604754030353	0.00599762292544	0.0549098147056	0.0828836940267	0.529524892029	0.225582470291	0.0227123095227	0.0167032465991	0.00121057750588
u	0.0763575365618	0.00785031900848	0.0666981463485	0.0387150293422	0.379351966343	0.327620249097	0.0877612371742	0.0102398196997	0.00540570573529
t	0.0340564047373	0.00268918298616	0.0226828558295	0.0154146702474	0.277636714448	0.453970439699	0.149591159058	0.0349426643999	0.0090158586451
t	0.0357707775791	0.00163089134539	0.0092641038765	0.00838696138247	0.300878661483	0.469960636566	0.122905116353	0.0455407218	0.00566204771503
e	0.028079897393	0.0014055107818	0.00456769787217	0.00434376106082	0.174905032828	0.552148495522	0.179333438784	0.0354991576	0.0197169663383
g	0.0444755349977	0.0019705317606	0.00622106720406	0.0210121337869	0.162452766609	0.405036828507	0.196602579595	0.1146494292	0.0475791237794
r	0.0500279266992	0.0020587602402	0.00689361071802	0.0266997955956	0.166554572203	0.234296006169	0.241685636532	0.187225979733	0.0845577345931
a	0.0182399115997	0.00188376960007	0.00313409275601	0.0106662895652	0.072881698401	0.235587152056	0.338352988844	0.212059166578	0.107194981531
m	0.0150962271999	0.00181762805336	0.00181131131867	0.0068162188884	0.0484700121337	0.193091316019	0.304944466281	0.346779712193	0.081173128177
m	0.0174592140666	0.00133683293779	0.00213445903956	0.0058875949628	0.0506596513779	0.152184730673	0.37364956876	0.356274517398	0.0404134432257
è	0.0144071196889	0.0035919747126	0.00300553857985	0.00722003915427	0.0316217959926	0.158392303558	0.36519853292	0.236519975799	0.180042773909
n	0.00970948022963	0.00395594825087	0.00268404355995	0.0101199755514	0.0653574351975	0.0974213293527	0.17117763474	0.4135280686	0.22604613607
a	0.00635242390988	0.00325590709696	0.00276375718665	0.00925609585047	0.0773232110658	0.0639646346176	0.0791953420133	0.499016312867	0.258872333457
s	0.0962642438033	0.00458227359899	0.00384880452888	0.0159939552835	0.0341801456886	0.0648020802059	0.0809694873378	0.411682727622	0.287676274486
