 	hai	già	mangiato	</S>
è	0.9929173	0.0068017474	6.5034378e-05	0.00021593612
c	0.85172485	0.0650492484667	0.0830393389447	0.00018658207
h	0.660498066667	0.219800116156	0.119502136648	0.00019967778
i	0.412324990222	0.476693045385	0.071552039216	0.03942994475
g	0.157051633407	0.534473731795	0.255934826405	0.0525398298433
i	0.0658649443023	0.543818560598	0.366757685468	0.0235588155411
à	0.0234082310474	0.446151219533	0.513518448489	0.0169221185137
f	0.0087922647958	0.167001202511	0.81298309283	0.0112234585046
a	0.0037142025786	0.063806212337	0.84352089761	0.0889587241682
m	0.00336255517287	0.0229972115123	0.84659486587	0.127045420723
è	0.00319228594596	0.00874004469077	0.89383223529	0.0942354829077
n	0.065784103537	0.0212614698503	0.653996591763	0.258957877636
a	0.0868060724257	0.0254930669368	0.322333823921	0.565367069212
</S>	0.0436668180829	0.0130649889484	0.227499451961	0.715768769606
