 	è	che	è	entrato	da	qui	</S>
è	0.39986414	0.498603425	0.052558642	0.044736219	0.0039358529	6.448959e-05	0.000237212225
n	0.19095128	0.484305628333	0.0931297373333	0.101126793	0.0060208561	0.115021296563	0.009444391285
a	0.117085557	0.324795016111	0.216626849111	0.158898261	0.0158375837	0.153685115988	0.013071577295
m	0.055044997	0.257927632037	0.22208156137	0.391362223667	0.0164679211833	0.0520651723627	0.005050497955
b	0.0326956658	0.133839236346	0.08657812499	0.719368127889	0.00620217147777	0.0196037965876	0.001712931004
ì	0.0115754599667	0.0593903894487	0.09513476453	0.597286169296	0.194205370293	0.00857600849587	0.033831889697
k	0.0613899188889	0.0348626581496	0.10500960851	0.467612663099	0.260983994764	0.025335363232	0.0448057806657
e	0.0784252658963	0.0246513011165	0.04749961767	0.4301616477	0.337256649588	0.041473738744	0.0405317393219
a	0.0293948508988	0.0102778282055	0.02134452139	0.307987072567	0.433737159863	0.140555017248	0.0567035464406
p	0.1340609663	0.0185098901685	0.0219668257967	0.328959450856	0.224888263954	0.202865195749	0.0687493974802
ò	0.168139045767	0.0218592670562	0.0213566212656	0.220106530619	0.102266608651	0.121698295916	0.344573587827
t	0.0798100089223	0.0149847146854	0.0117847874219	0.11728854254	0.0824427128837	0.283522549305	0.410166663609
t	0.0610284503074	0.0177592092285	0.00813469586397	0.08162732028	0.0541578343612	0.632426626435	0.14486585767
u	0.0343884711025	0.0150552370762	0.00408113377799	0.0349881355267	0.0304036098537	0.544579580145	0.336503821357
</S>	0.0195771360512	0.0115826230381	0.003714962539	0.0267411547633	0.0320642124269	0.309508547072	0.596811360679
