 	forse	non	li	ha	a	casa	</S>
f	0.99920575	0.00023211719	0.0004023947	6.9163588e-05	4.07219565e-05	3.84956565e-05	1.138748975e-05
ò	0.96430115	0.0168720451467	0.01823322606	0.000391043346	9.95223631667e-05	4.87123668333e-05	5.43603330833e-05
r	0.911147183333	0.0380215900489	0.0474612926867	0.00269913644867	0.000287951807722	0.000313693782278	6.91971876944e-05
s	0.908101394444	0.0410820250163	0.0461564292289	0.00395400331622	0.000281461200907	0.000398760806759	2.59671681315e-05
i	0.616229193415	0.0996495716721	0.268585808076	0.00905138943874	0.0024247100453	0.00026754326492	0.00379183691828
e	0.230623193072	0.216597650557	0.460525402692	0.0730375468129	0.0087844410151	0.000854879554973	0.00957693930609
t	0.123250834357	0.220551400186	0.470906267564	0.140360338938	0.0220604523384	0.0121984864517	0.0106722992687
u	0.064146738319	0.124085845729	0.593923755855	0.159107756313	0.0338045537795	0.0163678737172	0.0085635387229
s	0.0353306306397	0.0632592465763	0.515956828618	0.241911252104	0.0779338192598	0.0494170021391	0.0161912567076
è	0.0263414037799	0.0369052811921	0.355804842873	0.366283880701	0.126912119753	0.0668528973797	0.0208996169025
c	0.0232961004933	0.0247131463974	0.261437027624	0.4293753669	0.150842359918	0.0960609224599	0.0142751036342
h	0.117357533498	0.0246548714658	0.153054001208	0.455325065633	0.129044994973	0.112562597487	0.00800097807807
i	0.137424123633	0.0207862983553	0.0874438499027	0.401667631878	0.240363049991	0.0763591891623	0.0359559038927
è	0.0811174083443	0.0130901189851	0.0340948254676	0.301019373959	0.380952229997	0.127518526387	0.0622075342976
s	0.0871059341148	0.0412203966617	0.0442224731559	0.234635617986	0.276387186666	0.277624085462	0.0388043238659
s	0.162602898038	0.154424210887	0.0546045193853	0.161120805995	0.129940668555	0.318367201821	0.0189397043886
u	0.170807989346	0.162545449296	0.0282048549618	0.086583488665	0.0769486258517	0.224129650607	0.25077991313
</S>	0.099248114673	0.086258533148	0.0160246627309	0.0521780193325	0.0748849729259	0.186854440304	0.484551206565
