 	e	che	cucino	</S>
c	0.543500683	0.033201522	0.42282114682	0.000476676978
e	0.460359203	0.114993610667	0.42437128714	0.000275899991333
p	0.602139371	0.158585366889	0.23889729058	0.000377968043778
u	0.436664643667	0.31204610563	0.247139260193	0.00414998686126
m	0.202060747889	0.35255016521	0.438370813398	0.00701825952042
a	0.0972749111963	0.188953418403	0.684479891133	0.0292917800735
r	0.0337859158321	0.123676598468	0.732190117044	0.110347373358
è	0.0121087137952	0.0513762133227	0.808761959015	0.127753126786
o	0.00408714594957	0.0205902758076	0.796707319672	0.178615261262
</S>	0.00211679252479	0.0109478427038	0.716900159836	0.270035180631
