 	Marìa	però	sta	ora	sta	seduta	nel	giardino	e	non	può	rispondere	al	telefono	non	può	parlare	al	telefono	</S>
e	0.982503055	0.0172174115	0.000142490597	0.000121302733	3.63760215e-06	2.34465063e-06	1.401795125e-06	4.045649065e-06	6.8528425e-07	4.05020015e-07	5.64686145e-07	3.2693467e-07	4.3405253e-07	3.20367575e-07	3.2591482e-07	3.1758911e-07	2.78967665e-07	3.0432156e-07	2.1543784e-07	1.74319165e-07
M	0.748605468333	0.2481389225	0.000860667713667	0.00236510254433	1.400847765e-05	1.81886596333e-06	7.90618625e-07	4.76438168833e-06	6.28378026667e-07	3.60083408333e-07	2.82429886833e-06	3.66704876667e-07	3.87194093333e-07	3.60004075e-07	3.14191603333e-07	8.96928476667e-07	7.78817521667e-07	2.7047626e-07	4.17837246667e-07	9.03643241667e-07
a	0.640849542778	0.354102384167	0.00190945267122	0.00310019595478	2.335630155e-05	2.90811498778e-06	6.83546795e-07	2.94340392944e-06	4.42089328889e-07	2.21438151778e-07	3.35135623278e-06	3.06468298222e-07	2.36634052444e-07	2.76929051667e-07	1.82973291111e-07	9.74878307889e-07	8.58155476556e-07	1.83503616667e-07	4.14580442789e-07	1.08596454622e-06
r	0.515147549926	0.469057804722	0.0141804757237	0.00146987919159	0.000107741269517	1.58197504959e-05	2.72507715167e-06	5.59111767648e-06	2.7206191863e-06	8.28955252926e-07	2.91878335426e-06	4.87149072074e-07	5.28369722148e-07	3.50166163889e-07	2.39326237037e-07	9.18115218296e-07	6.85216828185e-07	2.24649015556e-07	3.61836108163e-07	2.16073951441e-06
ì	0.183862785975	0.780858091574	0.0330879819079	0.0017668834972	0.000321261143172	5.93086974986e-05	1.15142887172e-05	1.22772725588e-05	5.8607692621e-06	1.46265475098e-06	3.45839458475e-06	8.60581290691e-07	1.01406047405e-06	5.73113297963e-07	3.71634795679e-07	1.07308363943e-06	7.72053002728e-07	4.61411938519e-07	4.17272282721e-07	3.55798463814e-06
a	0.082321776325	0.722797253858	0.123551712303	0.0629719870324	0.00637609621439	0.000715908980833	0.000165713789239	0.000765868261186	0.000178599706087	2.4039394917e-05	4.58289028616e-05	1.04759739302e-05	2.32061898247e-05	7.14005199932e-06	5.49647734856e-06	8.05456847981e-06	5.30961982758e-06	8.99176814617e-06	1.74880767424e-06	1.4754019146e-05
p	0.0452660341083	0.650551151286	0.188107587434	0.103132023011	0.0099007609048	0.00109621729361	0.000270354196413	0.0010653393404	0.000240056984696	3.50766769723e-05	0.000119101660954	3.13081076434e-05	3.87055912749e-05	2.16895896664e-05	1.00170204495e-05	4.21634204933e-05	2.49217299425e-05	1.35060389487e-05	1.20654384247e-05	2.19124110487e-05
e	0.0227643425361	0.628724357095	0.200946629145	0.138411345004	0.00681768313493	0.0012074137312	0.000229746055471	0.0004818778668	0.000110380494232	1.78850124241e-05	0.000103203143651	2.92652506478e-05	2.2941791325e-05	2.02906782555e-05	6.46551128317e-06	4.65216744644e-05	2.68842628808e-05	6.60943484957e-06	1.40087591482e-05	1.21645934496e-05
r	0.011510251562	0.560544975698	0.287051166382	0.132490003335	0.00648073404498	0.00127984267707	0.000198262281824	0.000240702862933	7.27900780773e-05	1.1194660908e-05	4.1991967717e-05	1.27047568493e-05	1.18542793417e-05	8.18561588517e-06	2.74355896106e-06	1.71480537881e-05	1.02031315269e-05	3.05670021652e-06	4.86944252273e-06	7.33388324987e-06
ò	0.00433560563733	0.436872435233	0.456139512127	0.0826215377783	0.0152778593483	0.00378182722569	0.000556901907275	0.000155720631644	0.000135634389359	1.69869039693e-05	3.08827744057e-05	1.31867968164e-05	1.52655257806e-05	6.84718472839e-06	2.41303938702e-06	8.9154901627e-06	6.04078807563e-06	5.32430603884e-06	2.19350207424e-06	1.49033890833e-05
