 	dopo	Giovanni	é	tornato	a	casa	</S>
d	0.99237625	0.007512657	7.452384e-05	1.110820735e-05	1.431940658e-05	2.80830125e-06	8.2681925e-06
ò	0.978857083333	0.020077822	0.000990543976667	5.00812160167e-05	1.07819899133e-05	3.32558388333e-06	1.03070388333e-05
p	0.862967681111	0.126690222333	0.0101919924922	0.000116429188672	1.05439631711e-05	1.19817184278e-05	1.11458961978e-05
u	0.61366313037	0.325849550778	0.0588749538307	0.00114859268289	0.00012727686859	5.04112531426e-05	0.000286090504986
o	0.34415957679	0.539809593593	0.111633531277	0.0029460113943	0.000393469066197	7.33039543809e-05	0.000984507734995
G	0.150506941597	0.758471827864	0.0867014810923	0.00276261213143	0.000407291342066	0.000123274744794	0.00102658680167
i	0.056465195199	0.869507005955	0.0699174610308	0.00291700061048	0.000546958100689	0.000141059998265	0.000505336430557
o	0.0239232955663	0.658711495318	0.29430264701	0.0195233997702	0.00240683910023	0.000363349782755	0.000768947816852
v	0.0218137690221	0.543827858439	0.39761480567	0.0294636419234	0.00368636530008	0.00189063799425	0.00170287963895
à	0.0189682148074	0.516834096146	0.43951528189	0.0184529734411	0.00256414853336	0.00215706418475	0.00150818849965
n	0.00692664580247	0.356436712049	0.61032705063	0.0230055652804	0.00127220214445	0.00149397004825	0.000537837789883
n	0.00486272200082	0.490234100683	0.480606603543	0.0223446516435	0.00053347080115	0.00122655034542	0.000191882912528
i	0.00378803870361	0.441410754828	0.425521631181	0.107930030431	0.0161700223534	0.00119093181114	0.00398857591674
j	0.00171303420454	0.254969489543	0.502165173727	0.204103753477	0.0255142311178	0.00573338413705	0.00580094093891
ù	0.00103064027485	0.192499413848	0.491583644576	0.272116951159	0.0310298153726	0.00780320767902	0.00393635877964
r	0.000609873551617	0.075949438616	0.484339404859	0.38790152372	0.0338207531242	0.0144982893597	0.00288074196655
i	0.000536416070539	0.035822784372	0.334475954953	0.422582134573	0.164263089041	0.0261537997866	0.0161658403622
s	0.00133907585685	0.0140404830907	0.167456558318	0.520171321524	0.217201667014	0.0557657032622	0.0240252084541
e	0.00184223245228	0.00674087347357	0.0903926177727	0.475504283841	0.295602566338	0.0879884077541	0.041929042818
è	0.00308692795076	0.00358374716786	0.0385528222576	0.23964096928	0.451065572113	0.193555075918	0.070514942606
s	0.00465602141692	0.00455032232262	0.0396511887525	0.21913339776	0.312464977371	0.368533398639	0.0510107374353
s	0.0588382868056	0.0248680620075	0.0592430295842	0.203181069253	0.130614383457	0.469329399546	0.0539257823784
u	0.0771184896019	0.0301625764025	0.0430284981947	0.0874284804177	0.0790957621523	0.378090886515	0.305075340793
</S>	0.041146965801	0.0163646343013	0.0232526615974	0.0477345612089	0.0805462010762	0.261134773258	0.529820270397
