 	l'	ho	sentito	che	veniva	</S>
o	0.5158927	0.146381	0.3340895465	0.0020476483	0.00081516276	0.00077393965
n	0.221174866333	0.132944865667	0.329940772167	0.00209534803333	0.312956185753	0.000887946136667
ì	0.0831973557777	0.101123194222	0.365228324056	0.0195235385111	0.430417023251	0.000510566899556
k	0.229781752593	0.0974321914073	0.435414508019	0.0360824295037	0.201073512417	0.000215631563852
u	0.273980549131	0.0582737638024	0.50296036934	0.0411166521679	0.123427422139	0.000241260451284
s	0.0952675223103	0.0330536567475	0.457047393113	0.033816878056	0.380035648713	0.000778895583761
a	0.0354044481368	0.0233610877292	0.169459151038	0.210964114352	0.518407669571	0.0424035034613
k	0.0134235448123	0.0218508952431	0.072809126126	0.274736321451	0.55850914319	0.0586709411538
a	0.00586433003743	0.010490638881	0.025372692722	0.14264848715	0.741959424397	0.0736644103846
è	0.00209323332248	0.00491777826033	0.009649923234	0.09726205605	0.802881131466	0.0831958734615
r	0.00227953371749	0.00565372208678	0.00383855330467	0.0406703950167	0.908572437155	0.0389853804872
k	0.0028346864725	0.00728543732893	0.00179642279822	0.0172309187722	0.953977702385	0.0168748801624
a	0.00162509577417	0.00475541207631	0.00084917534274	0.00825125152407	0.770429124128	0.214089980721
t	0.00306990697472	0.00620223052544	0.000706693360913	0.00627889534136	0.679063554709	0.304678726907
o	0.00355448083157	0.00654647217515	0.000657091486971	0.00526413891379	0.629803084903	0.354174695636
</S>	0.00198871117579	0.00422949658758	0.000658745193486	0.0044274491569	0.470139092451	0.518556447818
