 	io	non	so	cosa	è	da	scrivere	</S>
e	0.895506775	0.0668269425	0.0356072965	0.0016333179	0.00010873255	0.00022237763	3.01385325e-05	6.4473917e-05
v	0.882409375	0.0513956595	0.0634044355	0.00239754386667	0.000176981943333	0.000126240172333	3.08112501667e-05	5.90234223333e-05
ò	0.596127252667	0.1855484685	0.199701715167	0.0179623401889	0.000491532934444	0.000109365863111	1.92134830556e-05	4.01819771111e-05
e	0.228160056556	0.402079166167	0.319258735056	0.0488208787296	0.00133533617815	0.000209452331037	9.31967793519e-05	4.3179218037e-05
n	0.266661140185	0.313900318056	0.340049271685	0.0678595429099	0.00635186829272	0.000378391133679	0.000679746866451	0.00411970552068
e	0.269958772362	0.119583163352	0.347913257228	0.244675924303	0.0102276400976	0.00124620006123	0.00081880381215	0.00557625023689
s	0.0975342604207	0.0541686734507	0.527198559076	0.301982904768	0.00865708453253	0.00403415592041	0.000435563560717	0.00598880547563
s	0.0409592608736	0.0278905278169	0.570952923025	0.288142451589	0.0260581653442	0.0391032986401	0.000808078153572	0.00608530885854
è	0.0149956904845	0.0176411165056	0.306460337675	0.55449035053	0.0484747194481	0.05416802688	0.000949054394524	0.00282073848618
r	0.0053936540215	0.0163639420685	0.278297902558	0.60832108351	0.0597835724827	0.02928513696	0.000745761341508	0.00180898914539
o	0.00222819067383	0.0148429131895	0.258246303719	0.59990454117	0.0837576744942	0.0370564496533	0.00105035854717	0.0029136027318
t	0.00132155699128	0.0240497865632	0.206865380773	0.602005433723	0.0991306068314	0.0566722898844	0.00222144411572	0.00773353577727
i	0.00116666721376	0.0272509514544	0.189330357258	0.504238897908	0.139930458944	0.119204429961	0.00519980903857	0.0136784585924
e	0.0207508841213	0.0109265994848	0.0642001201193	0.404389095969	0.231405309648	0.171389939987	0.0717129510129	0.0252251198641
n	0.0292226688404	0.0504729075616	0.0657538474064	0.220153000323	0.202577640883	0.175774293329	0.097843515671	0.158202128288
a	0.0137570738468	0.0635062638539	0.0662251479688	0.103741875108	0.118361519628	0.210068877776	0.232136780557	0.192202452096
g	0.0112398663823	0.0685645792846	0.0586222348229	0.0548136023693	0.0812058752093	0.204640635925	0.283985184186	0.236928003365
r	0.00859016755077	0.0700933739282	0.056174114341	0.0296594257898	0.0349907647364	0.168121848642	0.136576122062	0.495794177788
à	0.00599985994026	0.0253090977761	0.0194885278137	0.0144707992633	0.0174354689121	0.117032260214	0.360702610687	0.439561342596
s	0.00534590806675	0.013925586892	0.0169259492379	0.0278362527544	0.0282834009707	0.201930420738	0.459339790229	0.246412650865
s	0.0323818317756	0.021078379964	0.036815622746	0.111834784251	0.0540606923236	0.330401643579	0.244026548076	0.169400483622
o	0.0431795475919	0.0210135293213	0.0353312617153	0.119993115284	0.0486063461079	0.22827379386	0.189309640692	0.314292741207
</S>	0.024629544296	0.0133703701606	0.0206196270577	0.062727988442	0.030696288054	0.12709673593	0.197762860346	0.523096570604
