 	devo	pulire	l'	albero	</S>
è	0.671903725	0.324534925	0.0017403464	0.0011066048	0.00071437305
n	0.453603841667	0.386323031667	0.00523221656667	0.149436842367	0.00540406255
a	0.303472803889	0.468120983889	0.0215267128556	0.199571194856	0.00730831728333
k	0.180367247963	0.669075427963	0.0268786886185	0.120228825685	0.00344979239444
a	0.0918938336543	0.628733619321	0.170755438873	0.0986529652283	0.00996408399815
t	0.0635856122181	0.462805349774	0.229883416291	0.226105578409	0.0176200013327
à	0.046968906706	0.314134543258	0.34388331543	0.27970100847	0.0153121817776
r	0.0463835848687	0.189866751086	0.40601598181	0.348509451823	0.0092241712592
o	0.0451181308562	0.0913085876953	0.485435750603	0.356442990274	0.0216944920864
t	0.0271802315187	0.0411266232318	0.491181905201	0.413387469758	0.0271237003621
o	0.0212081078396	0.0229165181439	0.4572355234	0.441573666586	0.057066147454
n	0.0295404412799	0.010951872948	0.430882927467	0.451367115529	0.077257643818
à	0.0335906760933	0.00853621728267	0.344231682156	0.530844421843	0.0827969792727
r	0.0142001010311	0.00594373682756	0.317279414052	0.586596160614	0.0759805654242
b	0.0828811103437	0.108283256876	0.155689528017	0.606208173538	0.0469379308081
u	0.104796687048	0.141929927259	0.100641753339	0.364657767846	0.287973856936
r	0.0531809092827	0.0615890453863	0.052634697113	0.385359845949	0.447235485645
o	0.0358799014942	0.0347434702288	0.0340826130377	0.384960175316	0.510333828548
</S>	0.0186036283471	0.0179358007644	0.0192983395188	0.292690357658	0.651471864274
