 	lo	sentii	che	arrivò	</S>
t	0.931463325	0.0098481994	0.0208692527	0.037566328603	0.00025292763
o	0.663283921667	0.223974743733	0.0741465437	0.0380348410343	0.00055997101
n	0.273291467556	0.296665968244	0.413243201233	0.0161169855114	0.00068237737
ì	0.098059889352	0.192600103081	0.696175463744	0.0128039398371	0.000360617313333
k	0.276927409617	0.154965946227	0.555949224581	0.0119534799457	0.000203963144444
u	0.333163732339	0.0740284772757	0.570826128194	0.0213070443152	0.000674638964815
s	0.12195563558	0.0468338148186	0.489062633598	0.336985624772	0.00516228935494
a	0.0512748014533	0.0348129673329	0.205073010399	0.564812248257	0.144026975785
k	0.0314524660778	0.031402474911	0.122748431133	0.562306256086	0.252090368595
a	0.0247322109926	0.013021947637	0.057335782511	0.698810685362	0.206099362865
ì	0.0082794281852	0.006220128279	0.0207553261437	0.833076961787	0.131668157288
r	0.00807994861607	0.008438573293	0.0207175452212	0.731911100596	0.230852858763
t	0.0150752192054	0.013434275431	0.0233197984071	0.686849880199	0.261320871588
e	0.0121451365851	0.00948028804367	0.0112951288024	0.568638116733	0.398441359196
</S>	0.00614089206755	0.00574564937183	0.0068430694012	0.321729393367	0.659541004598
