 	vuole	pianto	</S>
i	0.989143935	0.0039447079	0.006911386
t	0.988355245	0.00564366956667	0.00600108013333
è	0.923948038333	0.0702192218556	0.00583272217778
l	0.903859212778	0.0907742592852	0.00536649283926
i	0.636723933426	0.294617645095	0.0686583543931
k	0.467485763642	0.429088661698	0.103425559464
l	0.445618551214	0.504393433899	0.0499880212547
a	0.187761747605	0.615078327966	0.197159910518
m	0.102340966402	0.566080932655	0.331578093506
m	0.0778497428007	0.716368334218	0.205781889169
è	0.0301407036469	0.573539624739	0.396319631056
n	0.266792236596	0.252101718246	0.481106020352
o	0.345829613079	0.133253962749	0.520916396784
</S>	0.17316858286	0.0697701213745	0.757061268392
