 	viene	fabbricato	</S>
è	0.860540735	0.12972147	0.009737755
r	0.556608792667	0.426720463333	0.0166707366667
k	0.204097919556	0.778773287778	0.0171288019589
e	0.078098423852	0.851283895926	0.070617673723
t	0.0333113396173	0.877823481975	0.0888651684743
e	0.0148119077391	0.928306743992	0.0568813400581
f	0.0065661536797	0.943757714664	0.0496761350194
a	0.00407780962657	0.886548204888	0.109373970006
b	0.00315695127552	0.849477234963	0.147365775002
b	0.00609688799184	0.909112078321	0.0847910100007
r	0.0177904579973	0.936914826107	0.0452947210002
i	0.0180197755658	0.632837834769	0.349142431333
k	0.0100192190886	0.47423147099	0.515749323778
à	0.00740548476287	0.429069725663	0.563524777926
t	0.170818676321	0.254931417221	0.574249895975
o	0.225891961907	0.189270238074	0.584837798658
</S>	0.114122735654	0.098534707537	0.787342579329
