 	vengono	vestiti	</S>
è	0.987009565	0.0046019815	0.0083884262
r	0.680169591667	0.302997755833	0.0168326282
k	0.458529610556	0.522397741944	0.0190726344667
u	0.373344347852	0.547218623981	0.0794370405556
t	0.141492961951	0.75425387466	0.104253176852
t	0.0675833276503	0.891627901553	0.040788785584
e	0.0342702361834	0.683459130518	0.282270648495
n	0.0244314453611	0.609122913506	0.366445631665
d	0.023960129787	0.847487107835	0.128552757388
i	0.013236002929	0.696601555945	0.290162450463
m	0.00832370147633	0.619317268648	0.372359044821
è	0.00465563482544	0.670595656216	0.324748709607
n	0.225754315442	0.415728633405	0.358517043202
a	0.299957902014	0.171946353802	0.528095734401
</S>	0.150832646307	0.091544993901	0.7576223372
