 	che	non	li	aspetiamo	</S>
n	0.94649958	0.02245517495	0.02866116075	0.002249731085	0.000134423665
a	0.633127612667	0.0596282129833	0.303348202917	0.00325660446167	0.000639360811667
m	0.497251076889	0.0673500543278	0.422747434306	0.0117004202539	0.000951008720556
i	0.43845349663	0.0527821081093	0.492788944769	0.0147976997513	0.00117777402352
t	0.397261616543	0.0398354300364	0.52907322159	0.0322934045838	0.00153630424117
u	0.380380701581	0.0206438856788	0.531068567197	0.0637211081946	0.00418571034706
s	0.200392556594	0.0160953182263	0.536338229066	0.237306189398	0.00986771044902
m	0.140569674298	0.00967710980877	0.552632496355	0.288538465133	0.00858223705967
ì	0.0476820893193	0.00670759566959	0.616329545452	0.203040923711	0.12623983293
n	0.269587832226	0.0202474885565	0.370175835151	0.17368414657	0.166304729077
o	0.343539640559	0.0222236043188	0.17175063205	0.32805890419	0.134427257792
m	0.154778640003	0.0103337569063	0.0907351910167	0.59933738473	0.144815049264
e	0.0917662686243	0.0063627593221	0.0611241604389	0.661583541577	0.179163253088
</S>	0.0460005222471	0.00361685419105	0.0327927253695	0.664494840788	0.253095016544
