 	non	mi	aspetti	non	vengo	</S>
m	0.229547067	0.2745930602	0.48538777063	0.00093732243	0.00603881378	0.003495952295
ì	0.111095080333	0.389098216867	0.486284071443	0.00314381487667	0.00688440249333	0.00349440830367
m	0.135197296778	0.442022101622	0.360783705048	0.00494892629222	0.0554484410644	0.00159954487322
e	0.144114775593	0.428522506541	0.332985173683	0.0117074167641	0.0814269363548	0.00124316329107
m	0.0815797404643	0.410104537347	0.456676496561	0.012582171328	0.0381840284516	0.00087295884369
ì	0.0360480127548	0.163880844282	0.488424872187	0.294077374183	0.0170884964839	0.000480355793563
n	0.126587608252	0.187437018094	0.196796857396	0.431474164728	0.0238096511613	0.0338946877969
i	0.150957691184	0.180180796031	0.0978140544653	0.440727808243	0.0815852893871	0.0487343749323
e	0.0539575053613	0.071772858677	0.0491154358218	0.535773689414	0.192754463129	0.0966260239774
n	0.0193726964151	0.0250213238923	0.0316287739406	0.576083516471	0.226650084376	0.121243546659
è	0.00656648636637	0.00864693121743	0.0141731838802	0.48065221549	0.425294271459	0.0646668668863
r	0.00227939395339	0.00301771379748	0.0058654255934	0.191644512497	0.750990490486	0.0462024236288
k	0.00076618363373	0.00102484731216	0.00241225523113	0.0697709776323	0.754436080162	0.171589616543
o	0.00041225743591	0.00039946139872	0.00135451262371	0.0263824647441	0.579267186721	0.392184082181
m	0.000291738923203	0.000189668418573	0.000707786437903	0.0264263419814	0.53947667224	0.432907760727
e	0.000108453536968	0.000109234765191	0.000318239995634	0.0255982005938	0.397305659747	0.576560186909
</S>	6.8602355484e-05	0.000116429472596	0.000160121797317	0.0143256436969	0.214597033374	0.770732143455
