 	da	da	un	famoso	poeta	</S>
p	0.9663216	0.0256316078	0.001184410879	0.00527782801695	0.001571854173	1.267825265e-05
u	0.79890429	0.192037777267	0.002185989793	0.00528265699798	0.00157311563967	1.61741238833e-05
s	0.50221926	0.490712905756	0.00465549726433	0.00184398083166	0.000558959848557	9.41426533443e-06
s	0.28721575	0.651672788585	0.0587979400881	0.00198080551722	0.000316548596186	1.62078571515e-05
è	0.160509937333	0.743824306195	0.0934757620294	0.00195318634457	0.000218402323062	1.84806128605e-05
n	0.075490353111	0.826109025398	0.0964252560098	0.00173678232036	0.000223120048687	1.55088134302e-05
a	0.0608053877037	0.658884915133	0.269562475337	0.00536608954012	0.00524405412623	0.000137035386477
f	0.0503432708346	0.422078378378	0.453608025112	0.0639598815134	0.00960672837541	0.000403682518826
a	0.0179938107115	0.260544812793	0.627763021704	0.0868137271711	0.00649601205847	0.000388609601609
m	0.0075430661705	0.121174340931	0.675927873901	0.18164804239	0.0102965089528	0.0034101321492
ò	0.00394569345683	0.0619066373103	0.675574944634	0.226803064797	0.0273621586509	0.0044074486564
s	0.00283935345228	0.0356609604368	0.623880854878	0.291298538932	0.0425087638836	0.0038114941588
o	0.0375517524841	0.0343363244789	0.373575961626	0.427924712977	0.118980202295	0.0076310467196
p	0.047825466028	0.027264251793	0.183444922542	0.531286704326	0.198624390765	0.0115542562399
o	0.0160314675593	0.00931517914433	0.0686145931807	0.453683321442	0.421034620255	0.03132081008
è	0.00737827453643	0.00398612816144	0.0271522395936	0.183116765147	0.723672406752	0.0546941966933
t	0.00447500258714	0.00215876021148	0.0100134277979	0.0860484043823	0.854625102251	0.0426792675644
a	0.00818016260405	0.00327592792816	0.00511709866597	0.0471372892274	0.72763589075	0.208653581188
</S>	0.014107049802	0.00545502981408	0.00485574383298	0.0261062592637	0.557528080375	0.391947810594
