 	qui	nella	casa	ha	la	luce	accesa	significa	che	ancora	stanno	svegli	non	sono	addormentati	</S>
e	0.806667115	0.1790188132	0.013589025608	0.0006868088135	2.016644697e-05	1.408605799e-05	7.601171863e-07	1.1887419315e-06	1.765102599e-07	4.855111701e-07	1.144668729e-07	2.235960336e-07	5.8238050015e-07	9.472138625e-08	7.69723998e-08	2.8693302035e-07
t	0.583461848333	0.393681611067	0.0220932678693	0.000720912091167	2.31278233233e-05	1.524402183e-05	8.00693968767e-07	1.19141813083e-06	1.780693083e-07	4.857418437e-07	1.15725290367e-07	2.23668677133e-07	5.809868082e-07	9.44497643867e-08	7.665154929e-08	2.84859986483e-07
t	0.458338269444	0.514682317022	0.0266368566231	0.000321131323722	1.36657194411e-05	6.32914859333e-06	3.43449654922e-07	4.35432753943e-07	7.33886144333e-08	1.66922012567e-07	4.21788136557e-08	7.57639961443e-08	1.97554946217e-07	3.22868814322e-08	2.72672967867e-08	9.57177466277e-08
ù	0.323664986481	0.640106872341	0.0358489522077	0.000364514401241	8.4848376137e-06	5.30179234778e-06	2.11358700307e-07	2.70417117981e-07	4.12944101444e-08	1.32813908522e-07	2.21446866852e-08	5.68618232148e-08	1.28977914072e-07	1.69041638107e-08	1.47586222622e-08	5.34582389759e-08
s	0.128901305494	0.731637337447	0.130873230736	0.00836883112041	0.000128265145005	8.81502124493e-05	1.57145532344e-06	3.96761415994e-07	9.17786253815e-08	2.38041522841e-07	2.86540033562e-07	1.49479391072e-07	1.04471600357e-07	2.19601946036e-08	2.51112064207e-08	4.42450973253e-08
t	0.062192198498	0.717803125816	0.208428063579	0.0112405315068	0.000181137495002	0.000148868372483	2.43104410781e-06	5.35382161998e-07	2.59636668461e-07	7.93787467614e-07	5.82060591187e-07	8.77300730357e-07	6.5105389119e-08	5.55798525345e-08	2.51973745474e-07	2.69006801442e-07
o	0.0424069394993	0.589805975272	0.34729100786	0.0190562366356	0.000287677938334	0.00111534648583	1.43018878026e-05	8.748159444e-06	5.76213949487e-07	6.36845465587e-06	7.01739610396e-07	2.49769144345e-06	2.52117151971e-06	1.50590547512e-07	3.77194698491e-07	6.23999667147e-07
s	0.0210828375764	0.299802212091	0.57524600262	0.100327423212	0.00207994534611	0.00141479756794	1.95307992675e-05	1.1803976048e-05	6.15994716496e-07	7.76119927196e-06	5.98452236799e-07	2.34930654648e-06	3.31198953794e-06	1.48567779837e-07	1.9276133993e-07	4.94062860316e-07
p	0.0074487449688	0.13519068103	0.738831284207	0.115255572737	0.0027029393487	0.000550546255313	9.51295175583e-06	4.674560736e-06	4.83785492165e-07	2.91876761065e-06	3.48027152266e-07	8.89176327493e-07	1.11142047535e-06	5.8438356279e-08	7.73459190767e-08	1.68693876039e-07
ì	0.0030408195896	0.0769591516767	0.663558294736	0.254556199246	0.00160532354957	0.000270129905104	5.26779291861e-06	2.018828232e-06	3.52568413055e-07	1.23707408355e-06	2.11095544089e-07	3.87896262498e-07	4.44689309783e-07	3.05752097597e-08	4.20406176922e-08	9.28628633463e-08
t	0.00139632509653	0.0331388672256	0.386119008245	0.567752819749	0.0112205290499	0.000350510678368	1.58239303062e-05	2.369099244e-06	5.55554966685e-07	1.26950110785e-06	9.10610401363e-07	6.16301560833e-07	2.17177673261e-07	4.47092652532e-08	5.66508085641e-08	7.68516301154e-08
i	0.0273802553655	0.0254215287419	0.188399400415	0.702177079916	0.0529833256833	0.00312909557612	0.000349069360769	9.60629560813e-05	3.9017375889e-06	2.3049937036e-05	9.09080240045e-06	6.39975125361e-06	1.62862692411e-05	1.89915822508e-06	1.59686914285e-06	1.94893891571e-06
è	0.0385576571218	0.0216949962473	0.0740780791383	0.763273579972	0.0967022318944	0.00493560885871	0.000527330400256	0.000132854978694	5.0875679963e-06	3.49047256787e-05	1.34886034668e-05	1.16262327512e-05	2.3638595247e-05	3.10438564169e-06	2.61143471428e-06	3.20205670524e-06
c	0.0156776471273	0.00844791370577	0.0282739380461	0.744720126657	0.199258090631	0.00316350588624	0.000335332373419	7.0021313898e-05	4.52234659877e-06	1.82590948262e-05	7.34803068893e-06	8.0211006504e-06	9.91624405567e-06	1.76518005723e-06	1.67215282476e-06	1.91037632508e-06
h	0.0119877231291	0.0165677905253	0.0270192363487	0.551624125552	0.374009076877	0.0177242692287	0.000967725084473	5.42862402993e-05	6.07496049959e-06	1.56436332087e-05	4.03761809631e-06	7.92957928347e-06	3.75850182522e-06	7.86178939077e-07	1.53695889492e-06	5.97289113169e-06
i	0.015403580043	0.0218499186751	0.0282845821162	0.351107141851	0.521481958959	0.0525353757429	0.00878837742816	0.000343379394766	1.03536243332e-05	0.000127477466403	1.57638390321e-05	2.55657177612e-05	1.70075859417e-05	8.11026423026e-07	1.36046033164e-06	7.3453419439e-06
o	0.0129051385143	0.011718808225	0.0124085571621	0.19777111395	0.638143652986	0.0877187619143	0.0378054798094	0.00109070239826	2.72970424444e-05	0.000297599162134	3.00250096774e-05	4.60592659204e-05	3.15424353139e-05	1.31375100768e-06	1.12676057721e-06	2.85286470463e-06
l	0.00738269696143	0.00568211799167	0.00468399354403	0.0929774669833	0.733142317662	0.0869930096381	0.0655718932698	0.00280250623275	0.000285415904148	0.000332705154045	5.74783698925e-05	5.10633906401e-05	2.29890337713e-05	8.45277973589e-06	3.8345188924e-06	2.07573145821e-06
ù	0.00391758461048	0.00244546628056	0.00287303654801	0.0509371593278	0.683554239221	0.105738932213	0.14564999909	0.00414031907758	0.000398197671383	0.000222006214682	5.96466609642e-05	3.54012820134e-05	1.16952762571e-05	1.0420949222e-05	4.2300953008e-06	1.6621468174e-06
s	0.00274975569683	0.00137387295019	0.00203947606934	0.0279739144426	0.524544346407	0.200801034071	0.23452246303	0.00531320949253	0.000476029410461	0.000138371908227	3.02667686547e-05	2.39709891378e-05	6.0602121257e-06	4.13681911733e-06	2.31845137027e-06	7.766300038e-07
t	0.00280250019228	0.00173129990673	0.00118133134311	0.0156293492142	0.319434315469	0.42382419469	0.22984707101	0.00487566933084	0.000509035240154	0.000116352972742	1.80592218849e-05	2.29141707126e-05	2.6053403819e-06	1.92607541578e-06	1.80783204009e-06	1.53841256793e-06
r	0.00279621185409	0.00188018113558	0.00094442981437	0.00655629790473	0.162132876823	0.64739724823	0.175538527003	0.00239825991028	0.000256252066718	7.2312746914e-05	9.15961796163e-06	1.34554691042e-05	1.45345122397e-06	7.0779028626e-07	8.2130183003e-07	1.75961139931e-06
o	0.0020971013747	0.00156703927853	0.000583499661457	0.00311274825491	0.096107449141	0.506371212743	0.371771702334	0.0162328590701	0.000478716938906	0.00125778104164	0.000133079871654	0.000245558730901	3.56550802047e-05	3.20819059975e-06	1.42251377668e-06	9.60105743103e-07
