 	vuole	vuole	mangiato	caldo	</S>
t	0.99154448	0.008362229025	8.1158465e-05	8.3728412e-06	3.692088625e-06
è	0.926846213333	0.0716495480083	0.001479105595	2.12410545333e-05	3.843313425e-06
l	0.846176517778	0.151402776003	0.00238194253167	3.47094521778e-05	4.03131833167e-06
i	0.612678185926	0.347737568668	0.0383607122772	0.00100707693973	0.000216454548301
t	0.271836682642	0.667898136223	0.0586473157591	0.00133062369324	0.000287223832734
è	0.098412744214	0.851733958741	0.049288470253	0.00046632797008	9.85016662113e-05
l	0.0410157090713	0.877053202914	0.0812693234177	0.00062164588236	4.01326725704e-05
i	0.0580332763571	0.644566864305	0.291588814473	0.00466607542745	0.00114496433602
f	0.0583061143857	0.348350364768	0.572926961491	0.0185261528092	0.00189039901201
a	0.0203955132619	0.186851133589	0.766220110497	0.0244135322697	0.00211971397067
m	0.00821889185397	0.0759050965297	0.838069270166	0.0637123007566	0.0140944783902
è	0.00410972358132	0.0339799860099	0.864975670055	0.0796437799189	0.0172908445634
n	0.00428110125711	0.01738671417	0.742520770018	0.168435782973	0.0673756009545
o	0.0527905537524	0.0261329307233	0.413017064673	0.265044967658	0.243014460318
t	0.0661613608241	0.0249225527078	0.198754546224	0.441207409219	0.268954111439
r	0.0222213944714	0.00865235841927	0.0992960797413	0.65717576974	0.212654385146
e	0.0076410280138	0.00312783083309	0.0405875150471	0.720650533247	0.227993081715
m	0.00269273001127	0.00117259995103	0.0276835524824	0.796387407749	0.172063715238
m	0.00127430484376	0.000636430213677	0.0241669907275	0.804718355916	0.169203939746
ò	0.00090323414792	0.000601600421226	0.0405100684758	0.600008538639	0.357976579915
</S>	0.00063449677396	0.000604991935613	0.0660929917379	0.41918859932	0.513478939957
