 	deve	che	entra	da	qui	</S>
è	0.7648495	0.2255364463	0.001677500172	0.0077775697215	0.0001304331095	2.85108049e-05
n	0.677644923333	0.2747274321	0.037567922024	0.00936558557383	0.0006624569265	3.17005969667e-05
g	0.472343360378	0.171909364033	0.346399217341	0.00844382852461	0.000833713392167	7.04930909889e-05
h	0.158995632059	0.101853988011	0.73037124578	0.00831737567487	0.000379673324056	8.2067410663e-05
i	0.054534063153	0.19310183267	0.740170771927	0.0102405483916	0.00163542988469	0.000317351450554
s	0.0190264088483	0.30635471089	0.493907020642	0.177863524131	0.0024538426949	0.000394497675651
e	0.0065016062601	0.286156370297	0.334548713547	0.369110958044	0.00278060476497	0.000901760184017
n	0.00233997242137	0.221055753432	0.227457027849	0.540885802681	0.00692722558832	0.00133418172801
a	0.00105507229512	0.129036739477	0.10256397095	0.72278924756	0.0370964298628	0.00745847230934
m	0.000608555916707	0.061636291959	0.0479123732167	0.770015395853	0.0781994699543	0.0416278711031
b	0.000228829848569	0.026842678453	0.0229851056389	0.715316198618	0.177679316651	0.0569478550344
i	0.00031794519419	0.0155463474843	0.0144458042663	0.464956402873	0.306435538884	0.198297949678
a	0.000416896168063	0.00721990578143	0.00517846977543	0.187447191191	0.367897699628	0.431839833226
p	0.000226122229221	0.00256643903048	0.00193793176514	0.0746464706303	0.477096619876	0.443526431075
ò	9.45118349403e-05	0.000963367406827	0.000708063099713	0.0381881272101	0.702593006625	0.257452918358
t	4.94803986134e-05	0.000406059930942	0.000269418061238	0.02325111507	0.860969048875	0.115054852453
t	1.80137795711e-05	0.000171019984314	0.000466886343746	0.0160736224567	0.900333619625	0.0829368304843
ù	6.1654828257e-05	0.000101460806771	0.00286436404792	0.00569264468557	0.744460529875	0.246819331495
</S>	0.000113833024128	0.000109047933385	0.00495302502396	0.00310423549279	0.573274814937	0.418445015747
