 	non	ho	cosa	a	fare	</S>
e	0.817781085	0.152834205	0.0274871662	0.00040323851	0.001414148685	8.0232488e-05
n	0.583210765	0.377408661667	0.0368469594	0.000938733326667	0.00131250957933	0.000282424619333
è	0.234251599333	0.501664223889	0.258781516467	0.00240009660889	0.00258799834411	0.000314591168444
c	0.0873815751777	0.473146511296	0.404015055489	0.0322932268696	0.00303467414804	0.000128978498148
h	0.0295526145399	0.392025314765	0.52551637183	0.0516615209565	0.00118494269268	5.92548720493e-05
o	0.010830956194	0.154206209255	0.687067167277	0.142522108985	0.00282078717423	0.00255277421668
t	0.00459072240867	0.063679498885	0.523211852426	0.400929802995	0.00392247562474	0.00366565613889
i	0.00360250704689	0.0226947989817	0.272027221809	0.461330624332	0.101492448775	0.138852399246
k	0.00331311691563	0.00868201288057	0.103451659936	0.508586598111	0.161019032925	0.214947586415
à	0.00143967473854	0.00401043014019	0.042345880612	0.454012342704	0.366626297642	0.131565375472
m	0.00080122226618	0.0016677496934	0.0160068918373	0.469745590901	0.433809982547	0.077968570824
i	0.000496936075393	0.000730055891133	0.00668591722243	0.4593904833	0.219704880849	0.312991745941
</S>	0.000545900037696	0.000487161735567	0.00344349952621	0.23382007115	0.182976170424	0.578727187971
