 	l'	ho	sentito	che	veniva	</S>
o	0.60532064	0.0798311475	0.26553788695	0.00360058516925	0.045578800897	0.00013097089565
n	0.35016198	0.326574615833	0.271646120983	0.00547584125642	0.0455777892173	0.000563657715217
ì	0.192243401467	0.371165339278	0.410640208994	0.00919420818547	0.0161275147908	0.000629350266406
k	0.0656911118223	0.234157167093	0.681590402998	0.0119543930618	0.00638765725027	0.000219301172802
u	0.0421931371408	0.226246349031	0.620587634333	0.0598003283539	0.0483992586034	0.00277331014693
s	0.0333332727469	0.130673236344	0.407351956444	0.362342406118	0.0626332673845	0.00366588662231
a	0.014162309449	0.0519430887813	0.224418110481	0.460443388706	0.240865260311	0.00816785878077
k	0.00770471365967	0.0211303212271	0.13285342416	0.517169962902	0.302658629104	0.0184829432603
a	0.00283091042989	0.00763087489903	0.05209549462	0.489519302967	0.394109792035	0.0538135937534
è	0.0013699114633	0.00287107580301	0.01807441344	0.170575915322	0.746242517345	0.0608661135845
r	0.000695110867767	0.00116181360267	0.00755809224667	0.242365634107	0.701744005782	0.0464752885282
k	0.00288364021592	0.00062159887589	0.00432337704889	0.281672483369	0.462454635261	0.248044237843
a	0.00369797278864	0.000469835551963	0.0020381148263	0.115677346123	0.40827112842	0.469845595948
t	0.00134930940721	0.000231116130654	0.000881685058767	0.211958611708	0.31946338114	0.466115898649
o	0.00048081891107	9.4929866218e-05	0.000352266409589	0.242040869926	0.194237672047	0.562793432883
</S>	0.000269918477035	5.2073157109e-05	0.000191912029794	0.121182133998	0.185028221024	0.693275716441
