 	oggi	io	non	ho	cosa	da	fare	</S>
s	0.9956795	0.0040871858	0.000162995235	3.439043285e-05	1.86228628e-05	9.22312785e-07	1.5835845e-05	5.58418875e-07
ì	0.768603306667	0.219744534933	0.0114163462617	0.00016748095295	2.03850912e-05	3.826571195e-06	4.3533825e-05	6.12668985e-07
m	0.673566425556	0.310669033311	0.0151693275352	0.00051934701765	2.4547716e-05	4.591865875e-06	4.58654650667e-05	8.81272361667e-07
m	0.581431991852	0.371895899437	0.0269107026264	0.00653656737255	0.000393930845333	0.000267851421602	0.0111350753251	0.00142799910395
e	0.267443209284	0.644074999812	0.0585449208755	0.00919348835752	0.000953065548444	0.000548846540534	0.0172993064417	0.00194219445465
r	0.168076278428	0.751942933271	0.0486068421918	0.0172970270192	0.00359410828281	0.00130577091351	0.0084790554339	0.000698041876217
i	0.109135684476	0.798337944424	0.0632631259639	0.0202129556731	0.0043303931476	0.0013705145995	0.0031012605613	0.000248156107739
e	0.0400356701587	0.837832834808	0.106150603988	0.011530300891	0.00279820740253	0.0004885219515	0.0010739671761	8.98606842463e-05
v	0.0187931503862	0.745498448269	0.105702473329	0.0901668546303	0.0351905271008	0.00247389537383	0.000496457574367	0.00167815983208
ò	0.0123352272954	0.49821048609	0.221792334443	0.205292234877	0.0560061707003	0.00330173007794	0.000855051381456	0.00220676440569
e	0.0096700489318	0.306145258697	0.421564954814	0.181913241626	0.0762022769001	0.00273393264598	0.00100150351715	0.000768794236897
n	0.0103319193106	0.185859455566	0.352092301605	0.295410600542	0.118616338967	0.034443566882	0.00193675579572	0.00130909491897
è	0.00849130563687	0.085494726522	0.157894963868	0.350638963514	0.336460702989	0.0536162836273	0.00590559336524	0.00149749185966
c	0.00522030441229	0.0438439308407	0.0873006846227	0.323085687838	0.401284222663	0.129794212542	0.00854642845508	0.000924528539887
h	0.0021531050841	0.0222925852669	0.0429220903742	0.284798532946	0.449759362554	0.188006724181	0.00888776415169	0.0011798331133
o	0.00166512364137	0.0086838826423	0.0372668489581	0.109622527982	0.481206454185	0.331550314727	0.0185953720506	0.0114094730711
t	0.00136120293959	0.00404709835743	0.0352973390727	0.0465034013273	0.294015934728	0.582294191576	0.0211713900169	0.015309434357
i	0.00051565728233	0.00148083402248	0.0135511789442	0.0201337716991	0.179889772376	0.579856960525	0.0978393786723	0.106732473786
k	0.00025427308411	0.000638762369493	0.0070998100814	0.010395818823	0.076928013592	0.558058796842	0.177983092891	0.168641486595
à	0.000185273134703	0.000329182978498	0.0036835713938	0.007168036191	0.0406413430307	0.430923738281	0.407360810964	0.109708046198
m	0.000147862419901	0.000207385357833	0.00171817181993	0.002528279557	0.0143207235002	0.30127831876	0.613227486988	0.0665717273993
i	0.000121684154967	0.000107141354278	0.00069181924531	0.000893956072333	0.00504573468007	0.238877327687	0.417619155663	0.336643149133
</S>	0.000158587077483	0.000104444712139	0.000468031697655	0.000486087501167	0.00259443362504	0.120854245994	0.248710842831	0.626623299566
