 	non	aveva	da	stare	</S>
e	0.73687682	0.25365575	0.0083423838	0.00091434927	0.00021073336
n	0.524610082	0.452007383333	0.0198708806	0.00282249265667	0.00068918314
ì	0.220410388667	0.734780027778	0.0406955765333	0.00335623775222	0.00075775851
c	0.0798389614957	0.850879675926	0.0644682401778	0.00451580401741	0.000297283003333
h	0.0267053577836	0.885840305309	0.0761055080593	0.0112199393391	0.000128870147778
e	0.00921756861953	0.618009715103	0.325261510686	0.0387650817797	0.00874612745926
n	0.00339119639651	0.232069116368	0.669650303562	0.0828593539266	0.0120300389198
a	0.00168880504217	0.081436147896	0.523389090521	0.292072234642	0.101413728407
s	0.00111820465072	0.0280983459053	0.25339846284	0.550608614881	0.166776362802
t	0.00037810280474	0.0114083925684	0.20226111428	0.69063315496	0.0953192352673
a	0.000150382544413	0.00500244143613	0.12390363076	0.75147691832	0.119466629422
s	7.7601567471e-05	0.00426865195871	0.103387426253	0.726301506107	0.165964799807
ì	8.78393734903e-05	0.0040353039129	0.0939776010843	0.508779382036	0.393119846602
</S>	0.000131205771745	0.00206747284645	0.0503301290421	0.307480511018	0.639990643301
