 	nella	pasta	metti	sale	vuole	il	sale	</S>
s	0.984703225	0.01500263845	0.0002582030425	3.4035821135e-05	1.8256085e-06	3.38981695e-08	2.0155524e-08	2.5886442e-08
t	0.941345575	0.05790347215	0.000676745714167	7.00943053783e-05	3.5785402e-06	2.13203451833e-07	2.5743934e-07	6.81342853333e-08
i	0.773004215	0.208598340717	0.0175016410381	0.000669184150126	0.0002154011194	4.61016178394e-06	3.91751543333e-06	2.65892568511e-06
p	0.433959998333	0.363976306906	0.198932083679	0.00277829755004	0.000332208516467	1.04973927613e-05	6.92161091111e-06	3.6789076517e-06
à	0.155774670444	0.480909935635	0.35998721456	0.00312674031668	0.000187370595489	8.14165949043e-06	4.34122627637e-06	1.61711348723e-06
s	0.056832395948	0.556780228545	0.382794534853	0.00348550267223	0.00010099869683	3.93021716681e-06	1.66361823146e-06	7.49232325743e-07
t	0.024234728116	0.670902176182	0.300624136951	0.00418641669074	4.707553461e-05	2.8147477556e-06	9.3894934382e-07	1.70245019191e-06
a	0.0228047747053	0.543659040394	0.41378172765	0.0162119400302	0.0035188566622	1.34670455185e-05	3.68428144794e-06	6.5225974973e-06
v	0.0175046167718	0.206257619131	0.714362509217	0.0566810566767	0.00513668172073	3.93148018395e-05	1.0093055816e-05	8.06398016577e-06
à	0.00592636412727	0.0747462904437	0.846756079739	0.0682183868922	0.00430184040691	3.74681649465e-05	9.06403987533e-06	4.42733648859e-06
l	0.00293205470909	0.0270191888146	0.700862113246	0.263818376964	0.00521066413564	0.000101809685982	3.11776202284e-05	2.45607832629e-05
e	0.072668580903	0.0115899908715	0.352279081082	0.489596792321	0.0725753123785	0.00113072944533	7.87975087428e-05	8.06860110876e-05
à	0.102654480968	0.0057693695905	0.140447519027	0.552722464107	0.196646834126	0.00157322774844	7.13140882476e-05	0.000114774867029
l	0.0418972997327	0.0024804725035	0.0566664713423	0.710076588036	0.187805842709	0.000945619182813	4.71546427492e-05	8.05433276763e-05
a	0.0961718719876	0.00227681584117	0.0294896797808	0.559041935012	0.294855202236	0.0175098637276	0.000512791940916	0.000141834457892
e	0.120043178329	0.00211342095706	0.0158919127603	0.203498255671	0.578416080745	0.0777149779092	0.00207380761364	0.000248385609297
t	0.0458748921577	0.000787362352353	0.00586660260343	0.0846425612237	0.671787293582	0.183788699303	0.00626208703788	0.000990527043099
è	0.0155365190672	0.000341220465451	0.00212502091114	0.0417574500079	0.662020164527	0.268576843101	0.00839986397929	0.00124288699437
l	0.00636765298907	0.00018261413315	0.00094878703038	0.0212682222693	0.606554988176	0.2996617577	0.0615232097931	0.00349273261146
i	0.085197207663	0.00110116616438	0.00237446254346	0.0145193999564	0.372989067392	0.309405942567	0.189578786598	0.0248339662038
t	0.110508689276	0.00136818262846	0.00266491004382	0.00559373456213	0.149574589464	0.361244470856	0.336609728866	0.0324357020679
à	0.0375072717467	0.000481575923153	0.00095925659394	0.00212998830404	0.0681544436547	0.339544656952	0.501338276289	0.049884537356
l	0.0132554898489	0.000190261156718	0.00039797019598	0.000825558461347	0.0291198486182	0.207368872317	0.684865692096	0.063976282452
a	0.032374797283	0.000544696994573	0.000591078879993	0.000428982357116	0.0129076959727	0.101315022106	0.567963504032	0.283874197484
</S>	0.0579878386415	0.000981384047286	0.000968059239996	0.000340073553558	0.00757779378635	0.054791528053	0.359212962016	0.518140368742
