 	viene	fabbricato	</S>
è	0.858379175	0.140722226	0.000898545415
r	0.671529501667	0.327766258667	0.000704196371667
k	0.367138552556	0.632142736222	0.000718703823889
e	0.136563252185	0.844841828741	0.0185949359746
t	0.0586976893617	0.913691492914	0.0276108406582
e	0.0209744607539	0.942675974305	0.0363495855527
f	0.00769890511797	0.939182548102	0.0531185928509
a	0.00325719689599	0.930002696034	0.0667401572836
b	0.00170480398866	0.884478932011	0.113816274428
b	0.0253431710296	0.749126377337	0.225530424809
r	0.0895814536765	0.529598059112	0.38082045827
i	0.101459116225	0.341130963037	0.557409919423
k	0.049893494075	0.203497834346	0.746608673141
à	0.0500847883583	0.221553024782	0.728362191047
t	0.0525478721194	0.330110994927	0.617341143682
o	0.0229026412398	0.240506471309	0.736590877894
</S>	0.0139571774199	0.126545030154	0.859497763947
