 	vengono	vestiti	dai	genitori	</S>
è	0.988319115	0.0103605314	0.0011398846225	0.00017161039	8.8672379e-06
r	0.935267148333	0.0632685558	0.00136030118417	0.000100323063	3.64077241333e-06
k	0.826819316111	0.171494251933	0.00157130790472	9.78100773333e-05	1.72981456511e-05
u	0.79382541537	0.203969697311	0.00206700943491	0.000113026694444	2.48282718837e-05
t	0.548032944523	0.44973286577	0.0021588592783	6.3781885148e-05	1.15334076612e-05
t	0.185990508008	0.811663995257	0.0023106414261	3.07790194827e-05	4.0465462504e-06
e	0.0731659177693	0.923422518419	0.00336445317537	3.83267592609e-05	8.7285137468e-06
n	0.0333091586364	0.95164850614	0.0148292828918	0.000200525043087	1.24870966823e-05
d	0.0221147002588	0.94625745538	0.0265202886306	0.0039738724477	0.00113368679333
i	0.0210947087529	0.813025051793	0.114818784544	0.0450853984826	0.00597607619778
m	0.0112121355843	0.747707147264	0.173399644848	0.0592960694942	0.00838502523259
è	0.0063824304281	0.618739625755	0.341081598283	0.0290431014981	0.00475324643753
n	0.058881775376	0.321538525252	0.486558192761	0.0634424788327	0.0695789883392
i	0.114673995125	0.173802421751	0.527885824254	0.0884743196109	0.0951633922797
à	0.0850505800417	0.0975187902503	0.670953258085	0.092901846537	0.0535754669266
t	0.0357589488706	0.0409749124168	0.764179636028	0.122055468846	0.0370309812089
t	0.0138203549135	0.0206340388056	0.763032312009	0.175163639615	0.0273496326363
u	0.00804842683783	0.0155219056019	0.541301767336	0.315552236538	0.119575664212
s	0.00433288723661	0.00997401340063	0.355135952445	0.487289288846	0.143267854737
g	0.0014996217462	0.00422971636688	0.303071187482	0.580651972949	0.110547488246
e	0.0006044098254	0.00215000691229	0.173726036827	0.605314424316	0.218205106082
n	0.0002651647918	0.00111771076076	0.102611349942	0.672952188105	0.223053595361
i	0.000304906727267	0.00121762848692	0.078633583314	0.642164742702	0.27767917512
t	0.000314763507422	0.00113066838564	0.037963564438	0.659706200901	0.30088482504
ò	0.000196941144141	0.00057421414188	0.0242448977127	0.790843353634	0.184140608347
r	0.00015762421388	0.000294591225627	0.0089533127309	0.858237197878	0.132357296116
u	0.00013452414046	0.000440735363542	0.00318105664363	0.627394445959	0.368849258705
</S>	0.00018523056023	0.000727849331771	0.00174344603181	0.351708672979	0.645634829353
