 	sono	stato	sempre	poveretti	</S>
ì	0.88555145	0.09668491215	0.01765845978	9.816504e-05	7.00556195e-06
m	0.872806916667	0.109191159383	0.01790386658	9.1651413e-05	6.41841971667e-06
e	0.719375515556	0.264072568461	0.0157149318467	0.000790646287333	4.63665293056e-05
s	0.363101747852	0.620482979487	0.0153358869822	0.00101990183378	5.94726682752e-05
t	0.137477174617	0.855668526496	0.00646813736073	0.000362213574593	2.39131234317e-05
a	0.0506250072057	0.944321542165	0.00482070828691	0.000215381243531	1.73054109772e-05
m	0.0260397477352	0.960863957388	0.0117523705956	0.00065943977451	0.000684357697992
m	0.0158237915784	0.965809249129	0.0147899558652	0.00258119692484	0.000995745289331
è	0.00723196552613	0.864103046376	0.125028493288	0.00320363254161	0.000432903077777
n	0.0142897325087	0.745080292125	0.201439137763	0.0203568742139	0.0188339910839
a	0.0479681065029	0.505057044042	0.348442695921	0.072958036738	0.0255741121946
p	0.0489349717676	0.218505284681	0.610515015307	0.106520975579	0.0155237098982
à	0.0172208429859	0.11088403106	0.757995481769	0.10191230186	0.0119872737994
n	0.00963777445863	0.0424945778533	0.71758702059	0.114538447287	0.1157421301
t	0.0225528041529	0.0203812672844	0.606095656863	0.127559922429	0.223410353367
a	0.0255325521176	0.00986228034813	0.456474302288	0.320660584143	0.187470301122
t	0.0110633808325	0.00458254556938	0.271500090763	0.558680251381	0.154173750374
e	0.00375006556083	0.00262138037779	0.159972641254	0.719084047127	0.114571873458
c	0.00132390526028	0.00100571219726	0.128987491418	0.668609265709	0.200073591153
h	0.00053958299676	0.00051248076242	0.126928120473	0.505702755236	0.366317040384
ù	0.00025775159892	0.000229546946807	0.0597963611577	0.651055685079	0.288660641461
d	0.000132966001307	9.40578549357e-05	0.0281833383859	0.817160981693	0.154428608487
d	0.000268554195436	4.94625043119e-05	0.012457901662	0.880160747231	0.107063272829
h	0.000324824185145	3.35694254373e-05	0.006811748754	0.935676649077	0.057153155943
i	0.000274049415048	2.53152228124e-05	0.00443125610133	0.658928296359	0.336341046981
</S>	0.000312705957524	1.62409859062e-05	0.00228837832566	0.362669768179	0.63471287349
