 	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
e	0.77919295	0.209753895	0.0054331225	0.002973664667	0.00186122616	0.000750482683	1.3886133855e-05	5.86049635e-06	1.307364075e-05	1.8743833e-06
n	0.546929173333	0.414994988333	0.0316344418333	0.003634899689	0.00198790802	0.000752881982	3.1883437285e-05	1.479336045e-05	1.611107825e-05	2.9494531e-06
è	0.233836151111	0.674111072778	0.0847226572778	0.00532975469633	0.00159761794	0.000344716465	2.96268069283e-05	1.542502415e-05	1.00879733167e-05	2.88292456667e-06
g	0.0872642207037	0.688100657593	0.214786035759	0.00819379256544	0.00142689581333	0.000205409894667	1.10449986761e-05	6.56426451e-06	4.0948768539e-06	1.27468708222e-06
r	0.0296257748679	0.453495375864	0.495644435253	0.0195433548551	0.00136822147111	0.000296484021222	7.1534297587e-06	2.80549199667e-06	4.83781413297e-06	1.15971785207e-05
a	0.015911336256	0.205808876955	0.484153425084	0.269449432618	0.022368181757	0.00197245217374	6.01920362529e-05	0.000193820454032	5.45532913777e-05	2.77876028402e-05
t	0.0110363295853	0.111162610652	0.304539625028	0.538198044206	0.0322798542523	0.00233995012991	9.39851620843e-05	0.000259374704911	6.81571600592e-05	2.21053398567e-05
s	0.00372081966777	0.0679034932173	0.301783961676	0.595144214735	0.0248385840841	0.00634644478197	0.000113891304028	9.14186677037e-05	4.95272329531e-05	7.66094259557e-06
a	0.00147380607859	0.0327751413158	0.192446373025	0.713266804912	0.0519383536947	0.00791370761399	0.000104642634343	3.52675017346e-05	4.2999061351e-05	2.94665826519e-06
m	0.000727428686197	0.0131333560153	0.0719626068083	0.839145334971	0.0687252188982	0.004893932458	0.00116118690445	0.000133162817245	4.37818874837e-05	7.40822797551e-05
à	0.000414452472066	0.00649562391843	0.0316214499361	0.68355554499	0.270588810633	0.00549965691933	0.00151732252482	0.000165527848482	4.39166998279e-05	9.77895295184e-05
i	0.00653314029069	0.00265183658614	0.011580387912	0.346626938997	0.617879960211	0.0104980825064	0.00180301489827	0.00235392897556	2.9019449276e-05	4.37217571061e-05
è	0.00845230742223	0.00148257459538	0.004139898254	0.140556777332	0.691365043404	0.148390809502	0.00241259529942	0.00314490407185	2.83845704253e-05	2.67104143687e-05
n	0.00298840575941	0.000926009331793	0.00216916050133	0.0658498781107	0.594295747801	0.316089386501	0.0157460292665	0.00156791293728	0.000228268495475	0.000139233109123
a	0.00775959254647	0.0120819268773	0.00348645970044	0.0437937220369	0.486078049267	0.313119738834	0.106918367756	0.0258760119124	0.000624459098492	0.000261714203041
g	0.00921512956936	0.0155383581604	0.00320342728681	0.0251521443123	0.280498827422	0.213852309611	0.392914039252	0.0570295073041	0.0024031855995	0.00019307903768
r	0.00307263422267	0.00519782033013	0.0010949243086	0.0092610858841	0.101736128741	0.104750497204	0.710437036417	0.0548533371014	0.00895854179983	0.00063798288256
à	0.00110469080324	0.00178242938204	0.000458530255867	0.0041783920747	0.0634134715137	0.0899272264013	0.742873078806	0.0839865070338	0.0112808895999	0.000994740770853
m	0.000450446195613	0.000651906478013	0.000260943528622	0.0030597303249	0.0647064905046	0.1032410638	0.645519026269	0.155335392345	0.0261606368666	0.000614311503618
m	0.000176221276404	0.000497706560004	0.000950796292874	0.00246562864163	0.0374205752015	0.0603076576	0.660537358756	0.194874927448	0.0406374849555	0.00213161540454
a	0.000651491058801	0.000845909666668	0.00231650533096	0.00179387021388	0.0143193061672	0.0263201263	0.543741796252	0.360284759149	0.0367294173185	0.0129968214682
s	0.000785802773747	0.000698356506223	0.00193395267799	0.00099961175796	0.00617091494573	0.0140430968667	0.425387735417	0.443590296383	0.0912241901062	0.0151660687894
o	0.000318767732062	0.000249146584741	0.000670490252663	0.000370618982653	0.00233866225858	0.0082743147889	0.323015836806	0.539236642128	0.108469755035	0.0170557922298
n	0.000163861249021	0.00012155727358	0.000267466251554	0.000162856593551	0.00097703880286	0.00432752196297	0.179587517269	0.604145930709	0.186732093345	0.0235141907433
a	0.000133084014674	0.000111090104527	0.000153581002185	0.000125589577184	0.000545845474287	0.00298467884099	0.12630790709	0.530611660236	0.281175907782	0.0578506769144
d	0.000124511084091	0.000100008169176	0.000101952127062	0.000104226248728	0.000338533092429	0.00119310282033	0.0553385592633	0.417118865079	0.423847712594	0.101732552305
e	5.1078236897e-05	5.49594765587e-05	4.84429250207e-05	4.7752729576e-05	0.000141756083143	0.000505880049443	0.0221063778878	0.210170310026	0.538062517531	0.228810940768
r	2.4925553299e-05	3.50725840196e-05	3.04316746736e-05	2.6178805192e-05	7.1053197381e-05	0.000206792422481	0.00960117642927	0.119958489342	0.58783213251	0.282213743589
f	3.86922490997e-05	5.57702473399e-05	0.000167410241558	3.1903802064e-05	3.56196654603e-05	0.000109939381827	0.00453856597642	0.0705914444473	0.517709257503	0.406721371196
ò	4.83678096999e-05	6.068470178e-05	0.000223140447186	3.81666650213e-05	3.89488971534e-05	0.000108305944942	0.00230526669214	0.0364753629824	0.555501232501	0.405200478399
m	3.56817299e-05	3.444827926e-05	0.000127048249062	2.45461436738e-05	3.41184513845e-05	0.000123582070314	0.00100517330405	0.0174423961608	0.788302824167	0.1928701708
m	5.91032049667e-05	0.000148838515753	0.000954878799687	5.78235608913e-05	2.25524037948e-05	7.3408407438e-05	0.00101032924135	0.0277339617203	0.599921314722	0.3700178136
u	7.62678099889e-05	0.000236266605251	0.00136787966656	8.56242569638e-05	2.68470679316e-05	3.1236678646e-05	0.00098106033545	0.0287143104401	0.277700525907	0.690780037867
</S>	7.26136249945e-05	0.000198510277626	0.00093851993328	7.34735284819e-05	3.13925064658e-05	2.0628570573e-05	0.000529062300225	0.01493674402	0.168591434453	0.814607718934
