 	se	si	era	vestito	il	mio	fratello	l'	avessi	portato	con	me	</S>
a	0.74624115	0.175911867	0.0757422051	0.001870784035	0.000107406733	3.53418877e-05	8.714409995e-05	6.588853e-07	1.98912534e-06	3.8427678e-07	2.887714225e-07	3.58635985e-07	4.13973965e-07
n	0.423063229533	0.448492742333	0.0959381073667	0.0315301466783	0.000681073111	0.0001722592359	9.38577553167e-05	9.8184787e-06	1.34840618467e-05	3.94108366e-06	3.32019810833e-07	4.96106545e-07	5.05684068333e-07
ì	0.146603436711	0.675619317444	0.133913261456	0.0427400970928	0.000830769442333	0.000218228498633	4.05101024389e-05	1.254411342e-05	1.61112400556e-05	4.89118128133e-06	1.66688734278e-07	3.29879096333e-07	3.20679545444e-07
c	0.0524359408037	0.696995889148	0.205240043819	0.0447412172309	0.000455874286111	0.000102999809211	1.60019228463e-05	4.43579814333e-06	5.58126204853e-06	1.70640821178e-06	6.24937987593e-08	1.16847590491e-07	1.28110854481e-07
h	0.0190073616346	0.685975613049	0.209829221273	0.0846723324103	0.000458058702037	4.4716891737e-05	7.96439951543e-06	1.77473443778e-06	2.06470292284e-06	6.68796660593e-07	2.52107839198e-08	4.9344593877e-08	1.42404091494e-07
e	0.00920374911153	0.501953437683	0.302218367091	0.184477714137	0.00192008054068	0.000202324272912	1.90011707051e-05	2.09981038593e-06	2.04804589095e-06	7.99694386864e-07	6.86256289733e-08	1.20027454626e-07	1.71449687165e-07
n	0.00498068135718	0.228887881894	0.31831122903	0.438409558046	0.00889609218023	0.000461034177637	4.56196325684e-05	3.20623419531e-06	3.34368733032e-06	1.00882922895e-06	8.91605763244e-08	1.69916971542e-07	1.07026629055e-07
d	0.00281445820573	0.123156487965	0.168351407677	0.681682739349	0.0229567957267	0.000953050159212	5.81233851895e-05	1.40470911318e-05	6.78137721011e-06	4.63884954298e-06	1.59230445441e-07	7.91848957181e-07	5.63795509685e-07
i	0.00517860026858	0.081833742655	0.100028885892	0.739518779783	0.0532332685756	0.0187796117531	0.000559988846063	0.000373686293711	0.00040784881507	1.97629865143e-05	6.91989842181e-06	3.24910207191e-05	2.64032544699e-05
s	0.00892206675619	0.0461926455517	0.0689915456307	0.549414586594	0.257951832859	0.0616745995844	0.00238382618202	0.00239958196457	0.00123151930502	0.000672450864505	1.56381634739e-05	9.45501869064e-05	5.51303448233e-05
