 	si	è	rotta	la	coppa	</S>
e	0.808134435	0.1415992185	0.04860124643	0.00118953452985	0.000431580625	4.404029975e-05
g	0.801401435	0.139003326167	0.05429233481	0.00368156997662	0.00157182925833	4.95362999167e-05
l	0.623839501667	0.238927572056	0.0526277109367	0.0430407536589	0.0394850478194	0.00207939485997
à	0.255664393222	0.262542586785	0.372674956979	0.0552904568863	0.0510736485065	0.00275389367632
s	0.094260098074	0.101489866362	0.71076536566	0.0586614926288	0.0338893864022	0.000933735165773
t	0.0404537850247	0.048624182454	0.77888073522	0.0697613365429	0.0618569481341	0.000423032272591
i	0.0219034940082	0.0199620183847	0.75035091174	0.130550463181	0.074552648378	0.00268050575753
e	0.0131311695894	0.00710303570823	0.463257758747	0.349822407727	0.160238458459	0.00644716091918
c	0.00455897278313	0.00240770863941	0.159064346982	0.373501692576	0.356904436153	0.103562831306
ò	0.00159796780104	0.00093439867647	0.0624194322273	0.262846437525	0.472470325384	0.199731427102
p	0.00060893982568	0.000439975262823	0.0300358800258	0.180993879975	0.654188988461	0.133732347434
p	0.00023571020056	0.000148167863221	0.0116411519586	0.0627580806583	0.880054816154	0.0451621289113
a	0.000688393606853	5.43848133537e-05	0.00641541585287	0.0231562312528	0.640405256051	0.329280344337
</S>	0.00122289575343	3.43999776769e-05	0.00504845572644	0.0132690673764	0.344957424026	0.635467752169
