 	devo	pulire	l'	albero	</S>
è	0.76205925	0.23082953618	0.004375318318	0.002677841295	5.81349755e-05
n	0.74043005	0.25070638706	0.00574496753933	0.003053394965	6.52756988333e-05
a	0.563385729333	0.426513270687	0.00838065527978	0.00153409781167	0.000186320414611
k	0.193623913878	0.778701690229	0.0251506437599	0.00223967906056	0.000284114361537
a	0.0655461068593	0.88695656341	0.0445816065866	0.00267187818685	0.000243856923846
t	0.0220706027631	0.854399121137	0.0930557621955	0.018267671729	0.0122068181213
à	0.00764748636437	0.829143540379	0.121348225398	0.0247632526763	0.0170974560071
r	0.00279777645479	0.77521401346	0.184901883133	0.0299957043254	0.00709063286903
o	0.0129428687183	0.543476281153	0.334356361044	0.0974778947751	0.0117466388563
t	0.0162978042389	0.299006867051	0.404292013681	0.244439924925	0.0359634146188
o	0.0055773851958	0.141646719017	0.437706221227	0.324866414975	0.0902032662063
n	0.00200896596427	0.062079227339	0.398840723742	0.402400938325	0.134670165402
à	0.000916426483757	0.039724129113	0.261217957914	0.508546146108	0.189595361801
r	0.000544422782419	0.0279836234377	0.180123452638	0.624750998703	0.1665975016
b	0.000188493587306	0.0104408373792	0.128323410879	0.603985376234	0.2570618982
u	0.000103764421102	0.00390571893307	0.064372638793	0.504039585411	0.427578326067
r	7.1552627034e-05	0.00144140382769	0.0474399097643	0.631481945137	0.319565180689
o	3.57642610113e-05	0.000569387441563	0.0406046677548	0.569363831712	0.389426325563
</S>	3.34561885056e-05	0.000307764154281	0.0209082631274	0.402470465856	0.576280042782
