 	qui	dentro	vuole	un	tappeto	</S>
e	0.90388815	0.084822054285	0.0103102956515	0.00097324532165	4.744721575e-06	1.45074001e-06
t	0.89278266	0.0956623347617	0.0105595134605	0.000983856927217	1.01661201917e-05	1.46649979667e-06
t	0.918269006667	0.0768464882539	0.00447267923017	0.000399383539072	1.09744854639e-05	1.46599469222e-06
ù	0.610086827889	0.364129862751	0.0255661152434	0.000209759709691	5.90479676463e-06	1.54753477407e-06
m	0.216230898296	0.71970415425	0.0636469037478	0.000393713656564	2.35759061315e-05	8.27221361357e-07
è	0.0825327700987	0.785039898083	0.130968021249	0.00138157675219	7.00368437105e-05	7.75758364712e-06
s	0.0315224171662	0.736642696028	0.228784440416	0.00265253818406	0.000365170527903	3.2747512549e-05
a	0.0197099121887	0.495180963343	0.464742770139	0.0193700778947	0.000917062742634	7.9214292183e-05
t	0.0149830426762	0.193034588114	0.60372493338	0.187050000632	0.00113204868088	7.5380345061e-05
è	0.0052762770454	0.068490582038	0.66206286446	0.263422966877	0.000718230450293	2.9086749087e-05
l	0.00230276858847	0.0322075236793	0.756827398153	0.207951745626	0.000597775340098	0.000112829182762
i	0.0392507035628	0.0289096138931	0.537773226051	0.387052578542	0.0064621901467	0.000551754084254
è	0.0531564203543	0.0225897307644	0.28258958535	0.631630639514	0.00882454871557	0.00120915102808
n	0.0202328702514	0.0108551573881	0.186065241783	0.765530229838	0.0118713572385	0.00544521707603
a	0.155017389717	0.024359154796	0.102083434928	0.637961269946	0.0651173997462	0.0154614280253
t	0.199509981952	0.0275517709083	0.0433945092093	0.339925769982	0.363491699915	0.0261263156751
a	0.0669269821307	0.0093304627791	0.0166113724698	0.191611249994	0.662465133305	0.0530548335584
p	0.0227455811302	0.0032587159527	0.0073608804666	0.121789685331	0.754235044435	0.0906101211861
p	0.00781575500673	0.00111135520923	0.00286910396553	0.0533529150437	0.795941114812	0.138909753729
è	0.00281615950424	0.000703842935077	0.00165020845518	0.0705902962812	0.738360271604	0.185879214576
t	0.00143994696008	0.000623843495026	0.00133373765173	0.0784450494271	0.698518237201	0.219639168192
o	0.00951444125336	0.000848816781675	0.00104180921724	0.029569829409	0.487453203067	0.471571896064
</S>	0.0176080396267	0.00127403579084	0.00101961755862	0.0152970831045	0.261191317534	0.703609928032
