 	deve	essere	bianco	</S>
è	0.767441365	0.2265601862	0.005787445554	0.000210990761
n	0.749696275	0.2392789944	0.0107991828513	0.000225511301667
a	0.575744891667	0.3720077438	0.0507958662838	0.00145146950856
è	0.202776930489	0.7281269946	0.0670190310946	0.00207705673619
n	0.068345766163	0.889835564867	0.0397087733649	0.00210991047873
e	0.031594659121	0.671793061622	0.213175885122	0.0834363738262
à	0.0190886985737	0.290931067207	0.428931978374	0.261048217942
s	0.0064786163499	0.129376596402	0.616846489458	0.247298269314
p	0.00216343510807	0.0614119234773	0.814848756486	0.121575916438
r	0.000721669808877	0.0207403679024	0.904706465495	0.073831521146
o	0.000258843361379	0.00730453534413	0.665477191832	0.326959412715
</S>	0.000156630708189	0.00389568263706	0.383090550916	0.612857126358
