 	la	donna	pulisce	la	casa	l'	uomo	no	</S>
e	0.980403335	0.0151681782	0.004179903554	0.000131089260235	8.3359900585e-05	2.093482948e-06	3.014019265e-05	1.25927854e-06	6.76464312e-07
j	0.953485958333	0.0317398970667	0.0128826068513	0.000734756753412	0.000994881513528	3.93069281827e-05	0.00012003243155	1.85995581333e-06	7.23642290667e-07
i	0.752659269444	0.229786568022	0.0152316954838	0.000893278831137	0.00124652351884	5.05087853376e-05	0.00013047781485	1.28133953778e-06	3.74092653556e-07
n	0.484607699815	0.432246662674	0.0655226860279	0.00592806185705	0.00833963808728	0.000711292864389	0.00257424713595	6.32801746459e-05	6.37318745452e-06
è	0.286015796605	0.419458374225	0.266858088676	0.0124102332857	0.0108378866558	0.00093420645913	0.00339278762865	8.41223613286e-05	8.45611805151e-06
k	0.139102865535	0.546826704742	0.298135102892	0.0105767086286	0.0038477328686	0.00032909163271	0.00114714170055	2.94285225229e-05	5.22980881717e-06
a	0.0841572785117	0.477711678247	0.412843897631	0.0176699880762	0.00677361831287	0.000243929886237	0.00056797718785	2.3423398141e-05	8.22804617239e-06
p	0.0439069013372	0.168985232916	0.70075907921	0.0753693333587	0.00954632090429	0.000482384495412	0.00090485247595	3.66481643803e-05	9.21871855746e-06
u	0.0157031729257	0.0576474599387	0.81555768307	0.102415034453	0.00730919843476	0.000485060445137	0.000848245211983	2.87593553534e-05	5.38068852249e-06
l	0.00588889988857	0.0200940295462	0.808865014357	0.140541538151	0.0220153474783	0.00126111319505	0.00129315649066	3.67010270111e-05	4.25443921083e-06
i	0.00279537739619	0.00713977222873	0.774789374786	0.17698471605	0.0351246148261	0.00166081964168	0.00146034565022	4.0990732437e-05	4.04972826028e-06
z	0.00145038740873	0.00252288093291	0.691437664929	0.26030570535	0.0395463916087	0.00375725185723	0.00090931653674	5.44803329123e-05	1.59775267434e-05
z	0.00356175891291	0.00164203688764	0.48055027831	0.38484997845	0.108890238203	0.0188696079524	0.00119578487891	0.000349105514304	9.12501872478e-05
è	0.0050549223043	0.00376462749588	0.479515059437	0.366670792817	0.122003121068	0.0214840751841	0.00098857299297	0.000413413104768	0.000105472174083
i	0.0272386461014	0.0100466573653	0.418677298146	0.346088510939	0.146163272023	0.0456765952614	0.00572762633099	0.000318908768256	6.25048030277e-05
o	0.0395770963671	0.0106777807884	0.183784966049	0.301222840313	0.255953600674	0.199043205087	0.009349379777	0.000341722612752	4.93732026759e-05
s	0.019052279709	0.00455751377113	0.0869290893497	0.186124580104	0.416262576891	0.280013041696	0.00683766892567	0.000200222247584	2.30323886586e-05
p	0.00651389288967	0.00152942371471	0.0491413744499	0.0969300007013	0.583834038964	0.257704363899	0.00415194414189	0.000136349055861	5.86660823195e-05
ì	0.00246331851656	0.000630966520903	0.0374426304833	0.106978564234	0.581770559655	0.266609594633	0.00393327478063	9.84896129537e-05	7.26493394398e-05
t	0.00133352245885	0.000382404663634	0.0441441474944	0.158217174745	0.429999239885	0.359114981544	0.00661820249354	0.000124577445318	6.57629818133e-05
i	0.0174749482863	0.00389895904454	0.0376780041648	0.127419956915	0.240096523295	0.519500260515	0.0493650884978	0.00440265814844	0.000163616930604
o	0.0238008520954	0.00517940792485	0.0210261744549	0.0617214055383	0.110869586432	0.678013553505	0.0912411461659	0.00795200218281	0.000195879406868
à	0.0131778686985	0.00259959531828	0.0088140060183	0.0236660883128	0.0586381454773	0.800001227835	0.086528108722	0.00610523919427	0.000469714298956
n	0.0086735691995	0.00163301981609	0.00547566457277	0.0161109903376	0.0480316808258	0.720624095945	0.187796096241	0.00984353506476	0.00181133983299
t	0.00909192803317	0.00069835276203	0.00466445812426	0.0136994382125	0.0533307412753	0.543149898648	0.352971458747	0.0133015270216	0.00909218144433
r	0.00896289931439	0.000342315518343	0.00354372484142	0.00823784797083	0.0531596877584	0.428171636216	0.470771896249	0.0161277060072	0.0106822770481
e	0.0064368280748	0.000701937823781	0.00197970211381	0.00473137999028	0.0318216942528	0.292688765405	0.39842290875	0.189846158669	0.073370620916
p	0.00552708932893	0.00081267236826	0.00123875841994	0.00204090110343	0.0142641256509	0.148230855135	0.309500302917	0.416778466223	0.101606791305
o	0.00185731552264	0.000277882444087	0.00043510500098	0.00077823215181	0.00545492181463	0.066132533945	0.243088194306	0.592554855408	0.089420911435
d	0.000656078858213	0.000112548664362	0.00017788410266	0.000311728947937	0.00195772815588	0.0251946877817	0.196237624769	0.653630418469	0.121721297145
è	0.000249750937971	6.04255707873e-05	9.23888255533e-05	0.000165792829979	0.00080756841196	0.0111662703606	0.214197374923	0.68622253949	0.0870378695483
g	0.00026101342289	0.000103563744262	6.38252651844e-05	0.00015021065066	0.000310837606987	0.00452465125353	0.185103814974	0.680311503163	0.129170540349
g	0.0010759362743	0.000266383334754	0.000166371450395	0.000267893106887	0.000247892615329	0.00553860468451	0.322252694991	0.500224581054	0.169959604783
h	0.00154643269143	0.000311266718251	0.000238790390132	0.000346111012296	0.00030980085511	0.0084085285615	0.53993951833	0.352518237018	0.0963812815943
e	0.00113557733048	0.00026638935275	0.000246883356711	0.000289178110765	0.00042760281837	0.00600594945383	0.424397368443	0.231179032339	0.336052009198
</S>	0.00093622756524	0.000274099226375	0.000273774268355	0.000229710765382	0.000564385409185	0.00326671412691	0.213385147722	0.17316496617	0.607904974599
