 	è	possibile	che	è	entrato	da	qui	</S>
i	0.63820966	0.3344997156	0.016226339285	0.010567920555	0.0004063040711	8.1310670595e-05	4.38234433e-06	4.35714165e-06
s	0.40437868	0.530651371867	0.053020683095	0.0106791769917	0.00103898136703	0.000120787233532	0.000103839408443	6.49249241667e-06
o	0.235359496767	0.628587110622	0.122629127698	0.0121933934706	0.00100995854901	8.17090291773e-05	0.000134367533448	4.87712067222e-06
g	0.0836762068557	0.696889270207	0.195109795899	0.0137439780902	0.0103623609097	0.000136671114392	7.76443584493e-05	4.12261975741e-06
g	0.0319543746186	0.581516026736	0.284076641966	0.0534470679634	0.0486251053032	0.000304517791464	6.92628694831e-05	7.03531511914e-06
è	0.0113816060495	0.617040445579	0.246842197989	0.0730267406545	0.0514153982924	0.000253500309088	3.39284781044e-05	6.14973440638e-06
s	0.00422842819317	0.805727615193	0.136099094996	0.0325150450182	0.0212757397888	0.000115103988296	3.61672089781e-05	2.73775426879e-06
t	0.00159330262972	0.844636838398	0.107234761665	0.0156467398061	0.0306369304296	0.000187204862765	4.6511216326e-05	1.76670601896e-05
e	0.00259040660857	0.603075249466	0.230083978888	0.127138657935	0.0363339051432	0.000400239614255	0.000262562710775	0.000114975350063
k	0.00291768093619	0.275314016489	0.364749236296	0.230010639312	0.121410426714	0.00504207072475	0.000422007790258	0.000133931862021
a	0.0016571522454	0.129175901963	0.262560538765	0.443896809771	0.153539840905	0.00869640974158	0.000391353416753	8.19970693403e-05
m	0.00122753900013	0.0464112878543	0.112101504588	0.449404594257	0.357781245635	0.0303277085805	0.00162838915892	0.00111770952645
b	0.000456411955043	0.0167833134981	0.0427696373293	0.154341493752	0.715276328545	0.0632112148602	0.00552466265297	0.00163695762882
ì	0.000710979821681	0.0076312143127	0.0377404332431	0.302786369251	0.573973028182	0.0704328616201	0.00590263795099	0.000822510819607
k	0.00283543320723	0.0050887948709	0.0370038934144	0.35380570175	0.516296661394	0.0732295872067	0.006044039217	0.00569589742987
e	0.0176209520691	0.0280882567236	0.0307173168048	0.153007073917	0.465920639131	0.143281472402	0.122230480406	0.0391338084766
a	0.0220258273564	0.0353136971745	0.0272958012016	0.0866189787723	0.17004363571	0.233848337467	0.306835686802	0.118018039492
p	0.00889748762247	0.0121789768615	0.00957750715387	0.0320402750574	0.08029415257	0.351082292489	0.324499182267	0.181430159831
ò	0.00299152596782	0.00413435721717	0.00333516428796	0.0115559899858	0.04021837263	0.307695777496	0.492316627422	0.13775222561
t	0.00102351971727	0.00142434047572	0.00123536121932	0.0041990660686	0.0220864613167	0.244787619165	0.647955195807	0.0772884675367
t	0.00035019555109	0.00050961800524	0.000442301825773	0.00148742819587	0.0163872309056	0.214491792388	0.693541335269	0.0727900925122
u	0.000155065704363	0.000202700120747	0.000154194856258	0.000499693912123	0.0058701610752	0.0754115089227	0.59273377509	0.324972857504
</S>	0.000128045872182	0.000120040483874	8.3495230629e-05	0.000254255126811	0.0029573189976	0.0378562626514	0.380948707545	0.577651828752
