 	l'	anno	che	viene	mia	sorella	sta	per	sta	per	studiare	medicina	</S>
t	0.97102388	0.0289255225	4.73633405e-05	1.8720831e-06	1.197983415e-06	1.55649005e-07	3.7956421e-08	2.7049135e-09	3.49265575e-09	6.28078975e-10	3.6584692e-09	2.704031e-09	6.9611249e-09
o	0.786099953333	0.2106098415	0.00189013540683	0.00137262312513	1.93221742383e-05	6.943494455e-06	5.72870627e-07	9.67442073667e-08	7.926355785e-08	2.60096132417e-08	2.054145494e-07	3.50726618333e-08	2.09643907233e-07
c	0.413877509778	0.578781913833	0.00542511613561	0.00183207456404	5.86868157461e-05	1.53372221517e-05	6.65885074233e-06	1.00826958246e-06	9.22768579283e-07	1.11173293081e-07	3.659136598e-07	5.97986189444e-08	2.83485144411e-07
h	0.239610208593	0.745402904611	0.0139960913785	0.00081704024368	0.000115369441915	3.35017313839e-05	1.61322622474e-05	3.38282819415e-06	2.77446959309e-06	3.98196057694e-07	9.10331673267e-07	8.05111727981e-07	4.7335012347e-07
r	0.317189349531	0.64020179487	0.0408372471262	0.00064904901456	0.000879473117305	0.000125395883795	8.47386327491e-05	1.17400357314e-05	8.68861203103e-06	1.11182615256e-06	2.31847002442e-06	7.51484097599e-06	1.53500280782e-06
ò	0.264088763177	0.643842991623	0.0850811770421	0.00528298007152	0.0013950324191	0.000152899179265	0.000109496458583	1.25837903205e-05	1.05777742437e-05	1.13645114085e-06	4.29801087481e-06	9.252160042e-06	8.79269370261e-06
n	0.195650761059	0.536255630541	0.239664962347	0.0124631023572	0.00931592225303	0.000607089261088	0.000725914190528	7.79504835168e-05	0.000188900153981	3.0142124937e-05	0.000292293362292	0.000191910711397	0.0045354142519
o	0.180993203686	0.272657928847	0.458768404116	0.0542797924524	0.0227217034177	0.0021950885537	0.00122695064684	0.000106383289172	0.000276577331327	4.13599504123e-05	0.000429891194097	0.000257917615466	0.00604475601063
k	0.0921268208953	0.143383535616	0.649686864705	0.0742308254841	0.0310139258059	0.00517008065123	0.00148218753228	9.85898343907e-05	0.000253059247109	3.23324822374e-05	0.000348122244699	0.000135776836822	0.00203782631954
a	0.0366249432984	0.0661818195387	0.646885024902	0.199527996495	0.0418914139353	0.00619708075041	0.00129309174743	8.96752461636e-05	0.000216943530203	2.77860712791e-05	0.0002792185078	8.9979460874e-05	0.000694990163013
m	0.0138533168995	0.0371837068462	0.600466654967	0.265723863498	0.0630393113118	0.0164722044501	0.00174613181914	0.000607847336755	0.000335171534568	8.8135224293e-05	0.0001803826555	5.5529817558e-05	0.000247723184838
b	0.104942374766	0.0688440222821	0.484444898322	0.153118485833	0.152623110437	0.0302931394834	0.00375727813971	0.000916651205585	0.000512348178189	0.000119252904098	0.000254745441833	6.35329538527e-05	0.000110180818279
è	0.136427422722	0.0705177354274	0.467448512774	0.129592018611	0.164950914479	0.0266576624945	0.00329485725657	0.000445950535695	0.00031890614973	5.13211633993e-05	0.000198040035611	4.22645574509e-05	5.44125377597e-05
n	0.061100823374	0.0295299366425	0.472268107591	0.23933060287	0.11900087916	0.0714825388315	0.00344951589552	0.000756926452398	0.000496135673577	0.000115796653833	0.000710108243537	0.00048379461265	0.00127480641759
n	0.184054272458	0.0308364780475	0.22147692853	0.278770400957	0.176405423053	0.0989919129438	0.00388143129851	0.000896549517466	0.000567080691192	0.000140388134944	0.000917422877846	0.00063724666655	0.00242445757253
i	0.224504647486	0.0337585970158	0.09912503051	0.214145513652	0.297546397684	0.120897234315	0.00707709963284	0.000420741072489	0.000322099377064	5.28467823813e-05	0.000368976980615	0.00022166342905	0.00155915751518
t	0.0883798170943	0.0163607273653	0.0531488748367	0.140143315684	0.490718535895	0.195266638105	0.0145996735443	0.000389275824163	0.000228648586355	2.04460137938e-05	0.000146124283072	7.56108516767e-05	0.000522288850094
i	0.0300477565971	0.00562402124843	0.0216130784789	0.0626032146947	0.630722591965	0.233685096035	0.0150312325148	0.000325046371388	9.11826074517e-05	7.29119109127e-06	4.9979348624e-05	2.53139919689e-05	0.000174156893478
n	0.010645252299	0.00209084197281	0.00909236075963	0.0447470788982	0.601166680655	0.306405908678	0.0244602391716	0.0011158785538	0.000149324720484	1.32168055904e-05	4.40909339413e-05	1.02021905063e-05	5.8908896706e-05
a	0.00412719319967	0.000937721947603	0.00452372108654	0.0300385836327	0.441133796885	0.452221462893	0.0648692763905	0.00185465255127	0.000209801160161	1.55719334635e-05	4.24564367804e-05	5.23888384877e-06	2.05293984687e-05
d	0.00193491352989	0.000529763772534	0.00197710249551	0.0198016125442	0.276114308962	0.557788220964	0.119639943797	0.0212200784838	0.00065460588672	0.000207704244755	9.70138760601e-05	1.77731570629e-05	1.69654902562e-05
r	0.00070340693663	0.000277533522511	0.00115068342184	0.0101507245147	0.223711876321	0.470043876988	0.233723867932	0.0566875008279	0.00294109486224	0.000450433514918	0.000120523545687	2.26835014876e-05	1.57921321954e-05
e	0.000335954265543	0.000114633646837	0.000817387320613	0.00627081483823	0.25101105544	0.382787828996	0.301245999311	0.053014993276	0.00398848552075	0.000340157758306	5.84868008957e-05	8.65908556253e-06	5.54423790847e-06
f	0.000208341977848	8.66930999457e-05	0.000512566630204	0.00648203127941	0.217094355147	0.376521826332	0.307788476437	0.0871544807587	0.00353400097358	0.000495900772769	9.21609789652e-05	1.46371881208e-05	1.45432450362e-05
f	0.000603342158616	0.000103768737982	0.000624321976735	0.0043850210598	0.119850395049	0.262763314111	0.401165712146	0.200641423586	0.00841220955786	0.00111586425759	0.000245830339655	6.24057683736e-05	2.63914130121e-05
ì	0.000814808039539	0.000113375753994	0.00197199352558	0.0055829959866	0.0741654250163	0.33507028337	0.384435904049	0.187120269195	0.00941230635262	0.000985222945863	0.000238925382218	6.88091129579e-05	1.9674274104e-05
m	0.00192477969985	0.000142455834665	0.00242123064186	0.0323536673289	0.0629295603388	0.450307411123	0.306670574683	0.135478224398	0.00670458761754	0.000822387741954	0.000144306163073	5.09785711526e-05	4.98206098013e-05
m	0.0316854405666	0.00195501900489	0.00137411211395	0.038495580343	0.0669596154463	0.287863373708	0.434608218228	0.124625414799	0.0109392295392	0.000911691013985	0.000212205521024	5.00139317175e-05	0.0003200672666
u	0.0498488068555	0.00542680400163	0.00114866607132	0.0145745802477	0.0591983361488	0.120800911903	0.465779772743	0.2230060416	0.0555572078464	0.00367535540466	0.000521047207008	7.08294419058e-05	0.000391640698867
è	0.0386320642852	0.00923799766721	0.00142098032377	0.00637280184923	0.0284161843829	0.0621551579677	0.391708724248	0.352886420533	0.102227070949	0.00599335196822	0.000632053849003	7.93406926353e-05	0.000237876609622
n	0.0258435041951	0.00768519778907	0.00107187144459	0.00404760764974	0.016085432361	0.0547349393226	0.357207318083	0.406693030178	0.11161130865	0.0139197216561	0.000735169663001	0.000107131856212	0.000257786139874
a	0.025497611165	0.00789879016302	0.00119684125153	0.00338346188325	0.00870748235367	0.0421555328409	0.213951276694	0.382999490059	0.230868916217	0.0799983932187	0.00269365125433	0.000438801005404	0.000209743229958
è	0.0283527273883	0.00902539162101	0.00138867086384	0.00198349295108	0.00554904401789	0.0171942855136	0.0998034415647	0.261103643353	0.455168838739	0.115704871073	0.00402939091811	0.000496236996135	0.000199979653319
n	0.0136102960961	0.00424354925034	0.00070218823128	0.000989314307027	0.0030465018493	0.0092621896712	0.0736337741882	0.229593521118	0.510699972913	0.146621377024	0.0066522589727	0.000475434526378	0.000469672411106
a	0.022221993332	0.00671538656011	0.00096123037376	0.00103223336901	0.00269263022643	0.0064071530904	0.0494931130627	0.172173788039	0.374856634304	0.342680892341	0.0166658033242	0.00333078710879	0.000768414857035
s	0.0246616890605	0.00746976826007	0.00102296997818	0.000837287784183	0.00228292453598	0.0030297436578	0.0209212650209	0.086979346013	0.310573374768	0.48007513078	0.0564835731081	0.00497774730293	0.000685212809012
t	0.00824994144337	0.00249622063006	0.000341413670717	0.000279592469908	0.00077589151916	0.0010601433236	0.0128849656736	0.0606581563377	0.366626771589	0.408422863593	0.124049262369	0.00990073703431	0.00425406222634
u	0.00285979958779	0.000842716212353	0.000115415226872	9.75829563027e-05	0.000277159044387	0.000396765187867	0.00904863065787	0.0367136211126	0.369641923863	0.287316804531	0.274306974123	0.0127025055781	0.00568012987545
d	0.00103884418493	0.000288818710784	4.04647170573e-05	3.90198051009e-05	0.000108545562796	0.000192370905956	0.00500126365262	0.0256426673709	0.297747401288	0.274977848177	0.373474914708	0.0166143417594	0.00483349842515
i	0.000369859413977	0.000102279285261	1.56412246858e-05	2.06534957003e-05	5.08101825987e-05	0.000127319006985	0.00357314075087	0.0211767716236	0.268374050429	0.277679766059	0.363882688236	0.0578920292531	0.00673494080838
è	0.00454270130133	0.000829900635754	0.000292885364695	0.0001220591819	0.000604566265866	0.000343006233995	0.00275204945029	0.0119038089079	0.266883043476	0.298081595353	0.324259429412	0.0663794060844	0.0230054889361
t	0.00594287199044	0.00107529726258	0.000385770247232	0.000153824732967	0.000792511252622	0.000436868364665	0.00291792001676	0.0145226631693	0.241000874492	0.369077965118	0.277034003137	0.0564948616948	0.030164516312
s	0.00669734305348	0.000784496538193	0.000152689034744	5.8958235989e-05	0.000484714914874	0.000205285051555	0.00217655423892	0.0138782403898	0.197274214831	0.297118405039	0.329137671046	0.0837630255649	0.068268346104
i	0.00868450535116	0.000892771796064	9.8508148248e-05	5.1435864663e-05	0.000445791918291	0.000115224245185	0.00138535961964	0.0055716290766	0.11735768261	0.155631547346	0.340453553682	0.151486476855	0.217825482035
m	0.00466170870999	0.000509885461921	5.87626191827e-05	4.49379121543e-05	0.000222767889764	6.4175242395e-05	0.00060917384988	0.00267608553887	0.05144341587	0.107325124782	0.264248861227	0.347784182285	0.220350914012
e	0.0015733666646	0.00017304363354	2.08731273942e-05	1.72007149848e-05	7.73456141547e-05	2.55496939983e-05	0.00025060214846	0.00164221504896	0.02692980629	0.0842790862607	0.192452123742	0.531006550762	0.161552254671
d	0.0005505935332	6.40001035133e-05	1.02795963647e-05	8.66142542827e-06	3.25284282849e-05	1.38815915328e-05	0.000110750785987	0.000763656398987	0.01314199343	0.0582368434202	0.147305381247	0.619975216921	0.159786228224
i	0.000195667885067	2.58919368711e-05	6.27556378823e-06	5.25406290942e-06	1.65994335616e-05	9.49548684427e-06	6.20723678623e-05	0.000467131732996	0.00794539371	0.0470047998067	0.103240772416	0.696740772307	0.144279886075
c	7.34171723557e-05	1.14681722237e-05	3.71488342941e-06	3.40375733647e-06	8.17935475387e-06	5.68850881476e-06	3.12801488208e-05	0.000224164754332	0.00412580880333	0.0281016912689	0.0765909978053	0.728565057436	0.162255115358
ì	3.02648631186e-05	6.75990347457e-06	2.95626297647e-06	4.59131381216e-06	6.08113141796e-06	5.12597547159e-06	2.38599589403e-05	0.000155447128111	0.00255864513444	0.020740614323	0.0602572506018	0.811633769145	0.104574622119
n	0.00013277383004	1.00088409915e-05	4.77415632549e-06	1.46662056041e-05	1.27494655393e-05	6.82508982386e-06	2.05876276468e-05	0.000102023476037	0.00140033664481	0.00939554490767	0.0272324528673	0.746826689715	0.21484059104
a	0.00088388242668	0.00015195180433	2.01597827752e-05	2.6665062868e-05	5.10902261798e-05	1.75784319413e-05	5.23441095489e-05	7.0048908679e-05	0.000765466214937	0.00392797068922	0.0146939797224	0.425309376572	0.554029497013
</S>	0.00152011286334	0.000288504222165	3.29953523876e-05	3.0938655434e-05	8.19242630899e-05	2.62713609706e-05	8.34569147745e-05	5.45857593395e-05	0.000521521007469	0.00213489057461	0.0093246135112	0.250883533286	0.735016648506
