 	voleva	un	bar	con	un	forno	che	fa	buoni	rustici	</S>
ì	0.940905305	0.05014580745	0.008260545448	0.00038258111535	0.0002992785765	2.349551875e-06	9.623171625e-07	2.4998255625e-07	1.999456545e-06	7.783107965e-07	1.73529235e-07
t	0.932343138333	0.0585717638167	0.008397280656	0.00038246790395	0.000298985620667	2.336488454e-06	9.59194179733e-07	2.47128673217e-07	1.94696012352e-06	7.66018990833e-07	1.46635638667e-07
e	0.678740926111	0.304890827939	0.015089773392	0.000848235546817	0.000407128335389	5.93035148033e-06	1.05038808548e-06	7.02417955539e-07	1.17800623164e-05	2.89417308894e-06	7.85675226556e-07
l	0.353492842037	0.610545642646	0.034417378464	0.00106601275561	0.00044926873213	7.23220656011e-06	1.08789625716e-06	8.57146992513e-07	1.50632765885e-05	3.62897552298e-06	1.00136474552e-06
a	0.203335203346	0.741727080882	0.0539593311547	0.000766854858537	0.000199336791043	3.09806972004e-06	4.0714742772e-07	3.72875988171e-07	6.4398870125e-06	1.43130328099e-06	4.6336690184e-07
è	0.0707554198153	0.728511313627	0.199086873718	0.00148720368618	0.000149949507014	2.28103497335e-06	2.47656012573e-07	3.52592152724e-07	4.29531817083e-06	1.55832104033e-06	5.12131150613e-07
n	0.0263481831718	0.514977984542	0.454853024573	0.00356067912873	0.000231913809005	1.09928635911e-05	9.09844094191e-07	7.49472790908e-07	2.43884802361e-06	1.10613886801e-05	2.0806063502e-06
a	0.0244833809239	0.289920301514	0.606486341524	0.0662966783762	0.012564634093	0.000131573731197	8.92982916473e-06	1.0422197197e-05	7.22848744745e-05	2.11081652267e-05	4.36981445007e-06
b	0.0245699309746	0.145714180505	0.638845313841	0.164269982792	0.023512196031	0.00161833354373	0.000247173824722	7.26404157323e-05	0.000149811004825	0.000975413438742	2.501399115e-05
a	0.0105322031515	0.089571306835	0.534484944614	0.282401470931	0.079078128677	0.00210507446124	0.000321221308107	8.40341324441e-05	0.000105848244275	0.00128583165692	2.99564058267e-05
r	0.00392987957717	0.0451965436117	0.380022168205	0.441389023644	0.125692666226	0.00292654443375	0.000219614425902	4.55124520147e-05	4.21761857583e-05	0.000524768456317	1.11541984522e-05
m	0.00767468522572	0.0293445175372	0.424136602735	0.425250977881	0.0923655064087	0.00687775714458	0.000610500531967	0.000124702278005	0.000266255653586	0.0132076815454	0.000140803070551
è	0.00875551222524	0.0282674508457	0.470909417578	0.343077869294	0.12415661647	0.00619549893819	0.000634980451322	0.000134840884402	0.000343098257195	0.0173412873453	0.000183425545917
n	0.00506157855841	0.0235094902819	0.465662889193	0.304329403098	0.186636148823	0.00543985120273	0.000544447057774	0.000112714409867	0.000369565608398	0.00767192394523	0.000662004071039
a	0.0135561285195	0.0188184827606	0.339135632931	0.242855941033	0.363621272941	0.0150737870676	0.000875406052591	0.000233437499956	0.000526662912799	0.00448001812841	0.000823226219846
f	0.0146215222598	0.00950597020687	0.120309621844	0.212568937011	0.529887737647	0.100523009023	0.00882390931753	0.000652385173319	0.0004011885176	0.0024122673228	0.000293431882782
ù	0.0051371969166	0.00338962359896	0.0461656978813	0.14317778367	0.657569062549	0.129881199674	0.0118826065725	0.00071139136444	0.000280106205867	0.00169058357153	0.000114727547294
r	0.0018423598622	0.00128173975965	0.0179576112271	0.0776804482233	0.784081637516	0.108056149891	0.0074461306575	0.000596861478147	0.000410716725289	0.000604075126443	4.22495321313e-05
n	0.0248394374341	0.00163440490322	0.0082051328757	0.0521635867411	0.652998545839	0.240101829964	0.00841373888583	0.00148916684272	0.0077588393851	0.00206163418081	0.00033367192071
o	0.0338613606447	0.00209000780107	0.00329274187523	0.0357740485804	0.451475398613	0.431629373321	0.0216709906286	0.00620285714757	0.0104891888284	0.0030711211936	0.000442928821237
n	0.0127946270882	0.00112061564836	0.00125981981508	0.0230131561935	0.285526541538	0.57280018444	0.0820755668762	0.00983141838252	0.00705474597613	0.00435341499787	0.000169960274746
a	0.00452896913607	0.000498426157453	0.00053983515736	0.0124101254978	0.164129350846	0.627909844813	0.138339498959	0.0393082754608	0.00794161965871	0.00432649667262	6.76111032487e-05
k	0.00176728963869	0.000284628116484	0.000219972741453	0.00647691846593	0.105208800615	0.598948681604	0.212590699653	0.0623751184869	0.00807419388624	0.00400074506421	5.29746794162e-05
à	0.0014722749729	0.000299294276161	0.000112731642818	0.00387676555531	0.0658091135383	0.501847400535	0.252295446551	0.141885749496	0.0279107106287	0.00443910185474	5.14384558054e-05
n	0.00158603635763	0.000350421065387	9.08965182727e-05	0.0035406642851	0.0453106161794	0.349113340178	0.17666256885	0.189687687832	0.221582308876	0.0118200576182	0.000255405774602
i	0.00728267625254	0.00134886709513	0.000112452844424	0.0035567366617	0.0261327497265	0.191092626726	0.12188512295	0.345464543944	0.278755271292	0.0234131852061	0.000955739404867
k	0.00897917872751	0.00163927473838	8.5287069808e-05	0.0022832595039	0.0115745928422	0.0915758255753	0.11163650765	0.451017911315	0.228574558764	0.0914590777354	0.00117450056829
a	0.00363749438584	0.000745847152793	3.9620372936e-05	0.000978232484633	0.0046894817474	0.0474194518584	0.08062190455	0.488307263772	0.234399952921	0.135955500578	0.00320525912276
l	0.00184821866695	0.000448258956598	2.59625049787e-05	0.000501139894878	0.00229665988247	0.0264601769528	0.05880094685	0.550071584591	0.223751190974	0.128142274859	0.00765361337425
ò	0.000970479043983	0.000214105797866	1.68370096596e-05	0.000233580341626	0.00114443207749	0.0163027961176	0.04323438045	0.364609508197	0.204111663658	0.361042784953	0.00811945562475
r	0.000641243500328	0.000117661076022	7.40105590653e-06	0.000109944264409	0.00048876180083	0.00633864776253	0.0159321996833	0.164904330066	0.135374771219	0.669259294984	0.00682575320825
ù	0.00237087920244	0.000311585195407	1.06549816555e-05	0.000144992605336	0.000329404281943	0.00268648454418	0.00604689642777	0.061134814022	0.121199370406	0.762129198328	0.0436357005694
s	0.00294903193931	0.000376404725402	1.16804365852e-05	0.000155647087379	0.000271468996114	0.00131157956206	0.00251125857592	0.0240980013073	0.080922902802	0.827104999443	0.0602869625231
t	0.0010384005516	0.000129092294734	3.99195201507e-06	5.2457123793e-05	9.1336285038e-05	0.000452000763353	0.000848032844707	0.00836100271577	0.038766137034	0.914422499814	0.0358349585077
i	0.0004700696972	5.6680389578e-05	1.70583425836e-06	2.21569859977e-05	3.51870188793e-05	0.000169357761784	0.000289519206969	0.00319739263192	0.0160292269447	0.723694299938	0.256034351503
k	0.000229108109333	2.9859983826e-05	1.02513289612e-06	1.21327247659e-05	1.72009592931e-05	9.43917992613e-05	0.000285688891656	0.00421404495731	0.0396055868149	0.630029283313	0.325481662501
u	0.000209545233378	2.36685799087e-05	8.62977308707e-07	9.88539868863e-06	1.15209327644e-05	6.98976297538e-05	0.000282823847552	0.0044108157391	0.046047641295	0.537593377771	0.411339932834
</S>	0.000303770816689	3.18075349543e-05	1.01260715435e-06	1.31618793443e-05	1.27863808822e-05	5.40369598769e-05	0.000146603824276	0.00242524699955	0.0234153741825	0.320958388885	0.652637766417
