 	lo	sentii	che	arrivò	</S>
t	0.99930265	0.00065905526	1.11136605e-05	2.638638375e-05	7.5609612e-07
o	0.69962206	0.29979635362	0.000488019522167	8.36289045833e-05	9.92929158667e-06
n	0.56089403	0.43673515954	0.00180115924072	0.000331812061528	0.000237867906862
ì	0.488820574333	0.49827178818	0.0119649854136	0.000611888027176	0.000330779255621
k	0.172737788244	0.810703809393	0.0157224782712	0.000695653162392	0.00014025890054
u	0.100696558548	0.813654349798	0.0326276848904	0.0516416948541	0.00137971260885
s	0.0756060228493	0.570810453266	0.270600104963	0.0811800042847	0.00180341566095
a	0.0313684129498	0.328163354422	0.548461214988	0.0881968607616	0.00381016967832
k	0.0157170057633	0.163503899807	0.698557688329	0.116379730254	0.00584166455944
a	0.0056944818011	0.0567629336023	0.541319041443	0.379002776751	0.0172207165198
ì	0.00766664470037	0.0214347738674	0.234790760814	0.69266411225	0.0434436431733
r	0.00797009977679	0.00970036088913	0.136591111938	0.805293087417	0.0404452885578
t	0.00495766180226	0.00386561062971	0.0692717904793	0.875752679139	0.0461522236859
e	0.00473269793409	0.0017652728099	0.0261000857264	0.63230630638	0.335095621229
</S>	0.00357383896704	0.00124616320495	0.0136026064632	0.38023157319	0.601345825615
