 	e	che	cucino	</S>
c	0.99828342	0.0015570207	0.000141279015	1.8198618e-05
e	0.921986673333	0.0768547057667	0.000754227341667	0.000404353596
p	0.631220684444	0.363125345256	0.00389091201389	0.00176308189867
u	0.317117856148	0.605734248419	0.0507133776713	0.0264345690329
m	0.146762918716	0.712200892806	0.0782883658904	0.0627478746776
a	0.052283862672	0.605538787602	0.259915321963	0.0822620782259
r	0.0195451401573	0.367061842534	0.493950397321	0.119442646075
è	0.00756751048577	0.235037350845	0.64768301244	0.109712142358
o	0.00551803176192	0.108624914815	0.550531730813	0.335325361119
</S>	0.00645692488096	0.0572761992075	0.335322005406	0.600944905559
