 	dei	genitori	</S>
à	0.930631435	0.0683712005	0.00099740153
t	0.927739835	0.0716506098333	0.000609584408
t	0.940855745	0.0568725929444	0.00227171938067
u	0.906540915	0.0868153209815	0.00664382066022
s	0.605542954	0.381678746994	0.0127783198867
g	0.307399853667	0.677081825665	0.0155183202956
e	0.197129417222	0.652286708555	0.150583867765
n	0.0704331108073	0.685249436185	0.244317452588
i	0.0250550027691	0.652515852062	0.322429154196
t	0.00919673315637	0.641870790687	0.348932468065
ò	0.00374304918546	0.719132363562	0.277124572688
r	0.00173351268349	0.793399654521	0.204866806229
u	0.00167335838283	0.613415458174	0.384911170743
</S>	0.00245588499141	0.338218789087	0.659325335371
