 	non	ci	dimentichiamo	mai	</S>
e	0.8233176	0.17445743	0.001469626135	0.0007198117	3.5473109e-05
n	0.769581233333	0.21808653	0.010572815045	0.00162679876667	0.000132536679
è	0.536621577111	0.447579296667	0.0138909755483	0.00175234838889	0.000155737558
n	0.206196865037	0.716267932222	0.0745658130494	0.00290147982963	6.78718596667e-05
a	0.099454962679	0.784236444074	0.105680542016	0.0101792685432	0.000448800728556
a	0.045975009993	0.677498224691	0.250703285005	0.0248211575144	0.00100237154285
l	0.017398665131	0.348257425897	0.537754308335	0.0871736958381	0.00941593928095
l	0.009167863577	0.180603262966	0.682701316112	0.102055919613	0.0254716637603
i	0.019665488359	0.168730694322	0.512887578704	0.181893454204	0.116822784587
m	0.0202499530063	0.113186086274	0.503545546235	0.226056408068	0.136961988529
o	0.00704132860877	0.0435312387913	0.469455942745	0.411018269356	0.0689532345097
n	0.00290663408959	0.0186542433304	0.197756636582	0.665688973119	0.114993542837
i	0.00148623971986	0.00962992401013	0.107257228527	0.617428007706	0.264198610946
s	0.000614351973953	0.00458898002004	0.057802297509	0.641694955902	0.295299430315
t	0.000212160006518	0.00196492513668	0.0565954771697	0.717923938634	0.223303533438
ù	8.6203044706e-05	0.00109509679223	0.0364210855566	0.772250056211	0.190147564479
m	4.4661476402e-05	0.000512073942077	0.0131915489189	0.876487895404	0.109763816726
e	0.000136323282301	0.000433233992026	0.00589345863963	0.683915588468	0.309621400809
s	0.000166746965534	0.000402753114009	0.00414404264654	0.609692102823	0.385594364603
t	5.8278389078e-05	0.00016023590967	0.00322151341551	0.805431217608	0.191128789201
a	3.5029852826e-05	8.08248932233e-05	0.00178775300184	0.631466132536	0.366630263067
m	3.27494116087e-05	5.14690600744e-05	0.000763072623947	0.595747827512	0.403404862689
à	8.44022772029e-05	0.000149024470691	0.000895725267982	0.724627415837	0.274243412563
i	0.000724515199068	0.000479070993564	0.00145617618933	0.465373092279	0.531967104188
</S>	0.00130623629953	0.000701266866782	0.00166748759467	0.235023851639	0.761301102094
