 	devo	comprare	il	pane	ogni	giorno	</S>
è	0.75385275	0.2291335732	0.014149221666	0.0019231367284	0.0004514417048	0.0004850469625	4.80241796e-06
n	0.604212816667	0.370452471067	0.022319561222	0.00207182360947	0.000454712654267	0.000483511232333	5.07983812e-06
a	0.398156488222	0.522975213689	0.0649585214073	0.00987494946982	0.00211973997076	0.00189479095561	2.03213215067e-05
a	0.146636800017	0.693577637896	0.140894103802	0.0137354569566	0.00272359352359	0.00240703675854	2.54610217022e-05
f	0.049186101989	0.577498335965	0.342313627934	0.0289119054522	0.00111663945453	0.000894178079513	7.92914151007e-05
o	0.0180807832697	0.410959068655	0.469118955978	0.0996609484841	0.00172155146484	0.000360358756504	9.83433330336e-05
r	0.00771356150323	0.286639596218	0.332853725326	0.366976052828	0.00542468322161	0.000330798812168	6.15776640112e-05
à	0.00374718311441	0.154967805406	0.246874388442	0.577467550943	0.0164258949072	0.000465541774056	5.16225083371e-05
s	0.00241659305147	0.163870105135	0.321988186147	0.494054136981	0.0173252078024	0.000323747021352	2.20369086457e-05
o	0.0157031522638	0.150923135045	0.340238972049	0.43520264566	0.0542680754341	0.00354827891712	0.000115809246749
t	0.0200877028403	0.080554719015	0.21529257135	0.568708958553	0.109900621811	0.00529521470571	0.000160262000583
o	0.00695996686577	0.030495946605	0.0985161717833	0.557570716184	0.30298253727	0.00336763596857	0.000107046608528
t	0.00258675946292	0.011796134135	0.0465202219278	0.545297808728	0.38798036909	0.00477240032286	0.00104628716618
s	0.00087042979384	0.00938285271167	0.0478124599759	0.697445752909	0.217633879697	0.0217739257743	0.00508066805539
o	0.000320710309813	0.00832172117056	0.0427820066586	0.511229336636	0.366427979899	0.0590139479248	0.0119042613518
m	0.000141336363271	0.00342667445685	0.0201469845529	0.424023531212	0.478685249966	0.0594027579749	0.0141734457839
ì	6.33668764237e-05	0.00154991567228	0.0117225418176	0.375824469737	0.375500596655	0.221486094658	0.013853009928
p	4.16744888079e-05	0.000750672164093	0.00594534950587	0.230765465912	0.472987355552	0.278328221219	0.0111812034427
à	0.000160988624269	0.000471557706698	0.00408901461529	0.182774620171	0.574655218517	0.227785463406	0.0100630856142
s	0.000196336110756	0.000253724497566	0.0019479740851	0.063317676757	0.546863839506	0.368876147802	0.0185442655381
s	8.1751846252e-05	0.000265552389189	0.00218245839503	0.0325799040857	0.521582159835	0.403216179267	0.040091944846
i	5.70788487507e-05	0.000220419574063	0.00200533268501	0.0219316263052	0.362773227278	0.399927566422	0.213084706615
n	3.87054195836e-05	8.35410216877e-05	0.000704162430003	0.0077507131784	0.218744279759	0.505193312141	0.267485280872
i	3.18236555279e-05	4.19979632292e-05	0.000275085698334	0.00299510782847	0.16573396412	0.469149244047	0.361772772291
m	3.55890125093e-05	2.97087014097e-05	0.000120068802778	0.00107734268182	0.0978312555733	0.481814421349	0.41909160743
è	3.75765658364e-05	2.45686474699e-05	6.71849092593e-05	0.000460003117273	0.0789057515244	0.68375579045	0.23674912581
r	3.16098681121e-05	1.99194708233e-05	4.68590427531e-05	0.000197071400191	0.0324796136415	0.80157888015	0.165646061937
a	5.27284355374e-05	4.07228286078e-05	0.000112539562251	0.00020024810783	0.0125142164805	0.604579076717	0.382500500646
</S>	8.87398677687e-05	6.88828543039e-05	0.000196831461125	0.000299629153915	0.00649477094025	0.364928113358	0.627923050323
