 	vogliono	girate	</S>
t	0.9869038	0.010262052115	0.00283414265
è	0.994143123333	0.00451528234833	0.00134157535
l	0.996573051111	0.00262919093278	0.000797763245
u	0.84489007037	0.0734904445609	0.08161949461
n	0.765501270123	0.123101948187	0.111396763203
e	0.568934754374	0.213483732729	0.217581492734
v	0.216456295791	0.449379914243	0.334163797578
o	0.090205636697	0.430874441414	0.478919952526
t	0.0322633051323	0.346373387138	0.621363337509
i	0.0127689113108	0.361396325713	0.625834765836
m	0.00519058907027	0.452991951904	0.541817455279
m	0.0194335168568	0.623496250635	0.35707023176
è	0.0253797288189	0.692865516878	0.281754727253
n	0.012601682573	0.788231272293	0.199167002418
e	0.00887518522433	0.579221796431	0.411902977473
</S>	0.00780865951217	0.307367406716	0.684823888736
