 	il	dito	si	gonfiò	</S>
o	0.86107045	0.12830356175	0.009676720805	0.0009159335965	3.33046936e-05
d	0.658168683333	0.293844013917	0.0451921912683	0.00255286879883	0.000242251929533
à	0.522526211111	0.335485651306	0.137172890423	0.00448370906628	0.000331546833178
t	0.353874485037	0.353649653769	0.288440063474	0.00387934435543	0.000156429667726
t	0.132502334346	0.39501308459	0.469205087825	0.00288761915181	0.000391847735909
i	0.073874558782	0.39599296153	0.514309602608	0.0139690962173	0.00185377087864
l	0.0423887438173	0.335350567177	0.583864807536	0.0363500620724	0.00204584527288
o	0.0199394471624	0.167814287392	0.564162385845	0.240361004024	0.00772288160429
è	0.0146329214875	0.075241359464	0.356503455282	0.527317814675	0.0263044155348
p	0.00723875770917	0.0330434521547	0.214701588427	0.717644608225	0.0273715818449
r	0.00296866744972	0.0140342667616	0.105343648476	0.853976579408	0.0236768662816
i	0.00254920934991	0.00499632804053	0.0440280901253	0.795880069803	0.152546324427
m	0.00191318177397	0.00192386045684	0.0163022539084	0.784896413268	0.194964304809
m	0.00082246078199	0.000929345675613	0.0135619408695	0.841065504423	0.143620801603
è	0.000632193960663	0.000582179175204	0.0192466002898	0.761103901474	0.218435187201
n	0.000745331753554	0.000339480791735	0.0145725484633	0.586838710491	0.3975039624
o	0.00644056995118	0.000637673470578	0.0071438130211	0.31804566683	0.667732287467
</S>	0.0119788549756	0.00102254413529	0.00612113826055	0.175100763415	0.805776693734
