 	venne	scritto	</S>
ì	0.94645715	0.05223885815	0.00130397898
r	0.94523783	0.0540525893833	0.000709542797667
t	0.92260691	0.0764292631278	0.000963828183556
e	0.888965236667	0.104271802709	0.00676299322785
g	0.658188002222	0.332707765903	0.00910423157595
r	0.319589870741	0.643973135301	0.036436999692
a	0.149529748814	0.6488451651	0.201625128564
m	0.0536570571713	0.6556353417	0.290707619521
m	0.0342792957238	0.7638489139	0.201871781507
è	0.0260027814079	0.831213137967	0.142784055502
n	0.0222817183026	0.687420769322	0.290297498501
o	0.0236075074342	0.344419423974	0.631973066167
</S>	0.0163200717171	0.173716678287	0.809963233084
