 	ogni	giorno	bisogna	che	compriamo	il	pane	</S>
k	0.903556525	0.028429802925	0.06673917589	0.00048731176415	0.0003633687041	6.1043304115e-05	0.000325794378605	3.701833699e-05
u	0.731324441667	0.199277399308	0.06811657543	0.00049292907205	0.000364251978633	6.11820997717e-05	0.000325826509658	3.73849994633e-05
à	0.424454531556	0.550639689769	0.0244689646233	0.000171810939183	0.000122643258528	2.06282644106e-05	0.000108708874379	1.29859035278e-05
i	0.164139960519	0.824302019923	0.0114035368878	6.41289542277e-05	4.23124940593e-05	7.02433292353e-06	3.63822438297e-05	4.5973509826e-06
m	0.069107844173	0.741898796641	0.182664338296	0.00552681934808	0.000613847204186	0.000138250399675	4.63627776099e-05	3.7253120942e-06
è	0.0408300287243	0.640510605547	0.310232129432	0.00738902807603	0.000803246099162	0.000181954282445	4.96704398033e-05	3.32758946473e-06
r	0.0214969685748	0.763000718516	0.212069199811	0.00304018905201	0.000298753594154	6.57656867017e-05	2.54736555344e-05	2.95595872158e-06
i	0.0282310095249	0.640701626172	0.324101216604	0.00636393075067	0.000348754194718	0.000134629188901	0.000101583411845	1.72555199072e-05
n	0.029196585975	0.321720302057	0.622260015535	0.0256968372502	0.000776774898239	0.000196782669634	0.000130808751948	2.18607785024e-05
g	0.010153107261	0.125647771086	0.833248171845	0.0299226414167	0.000849900899413	0.000112801598878	5.63702286327e-05	9.1775144508e-06
h	0.00350655099633	0.0468804280953	0.913821757282	0.0331321748056	0.0024518189998	0.000158238368626	4.46644661942e-05	4.3347904336e-06
ì	0.00167835540544	0.0463508300318	0.906429739094	0.0424100126019	0.00290848347327	0.000176185490209	4.31056480647e-05	3.3159007112e-06
z	0.00180871650181	0.123602983344	0.728573026365	0.137904157534	0.00775816509776	0.000247196677403	6.72001220216e-05	3.85719232704e-05
i	0.0126070939006	0.141207578781	0.447527388788	0.369770692511	0.0244616616993	0.00371621913913	0.000625730014007	8.36441277568e-05
n	0.0159391186669	0.0697927745937	0.235366524263	0.572374300837	0.0987482105664	0.00674850887971	0.000889541464669	0.000141035042586
a	0.00699756035563	0.0296994167312	0.0988722247543	0.631286903612	0.215599873522	0.0168322836266	0.000572724181556	0.000139026460862
v	0.00346639941521	0.0120042713804	0.0468489845848	0.575112354537	0.337013964507	0.0246945858755	0.000552816593852	0.000306600880287
o	0.0012763471084	0.00496522973013	0.0252232271949	0.527950884846	0.378620418169	0.0601523942918	0.00138889946462	0.000422573903429
r	0.000533151616133	0.00256556398604	0.0130763212316	0.413703761615	0.455273412723	0.112257654764	0.00222385652154	0.000366283684476
à	0.000257650025378	0.00133182653801	0.0063423623772	0.254565287205	0.594015504241	0.136823131588	0.00617230817385	0.000491950134825
s	0.000163654189126	0.00093041242267	0.00345287442573	0.148626021402	0.707358154747	0.132000343863	0.00697867663462	0.000489879211608
o	0.00421928456371	0.00285166415089	0.0197362396419	0.0712372494673	0.608642438249	0.271492614621	0.0191256631215	0.00269484287054
m	0.00556566664124	0.00347332477763	0.0249541638806	0.0402110924891	0.48699791275	0.39598063154	0.0365005677072	0.00631663579018
e	0.00188576161541	0.00119020728488	0.00843686856353	0.0213944656297	0.390534717583	0.360806923847	0.165719945902	0.0500311155967
o	0.00086184130347	0.000605040826627	0.00312482878118	0.00987288244323	0.212928939194	0.392170274616	0.286947425301	0.0934887951989
t	0.00050531594199	0.000388600313676	0.00175521625039	0.00900818058108	0.168243703065	0.438747384872	0.302165478434	0.0791861583996
s	0.000171250905797	0.000130530453525	0.00106689687013	0.00875945139369	0.150496207688	0.332823052957	0.453472636145	0.0530799994665
o	6.3697339899e-05	5.00664663417e-05	0.000378575032043	0.0035982188779	0.103641051563	0.156293949652	0.434184788715	0.301789706489
m	3.04685242997e-05	2.33998529139e-05	0.000922222566014	0.00251105210597	0.047653641521	0.187472417217	0.363516172905	0.397870695496
ì	2.33909087666e-05	1.95064141046e-05	0.001112473547	0.00224765096866	0.0308788496737	0.221372995739	0.367872867635	0.376472291832
</S>	2.72991443833e-05	2.66245620523e-05	0.000580265911	0.00138892498433	0.0223807605868	0.16378323287	0.293384248818	0.518428645916
