 	il	lupo	non	cammina	mai	nemmeno	con	la	volpe	</S>
o	0.737287885	0.246741328	0.0139461526	7.68722399e-05	0.0018843913901	5.241644607e-05	6.9024954e-06	8.311781385e-07	2.66764068e-06	5.40531285e-07
l	0.523540595	0.458855609333	0.0140114165333	0.0014835256733	0.0020377384567	5.668509669e-05	7.61683406667e-06	2.01932571283e-06	4.07935889333e-06	6.74437141667e-07
ì	0.331386641667	0.422765213111	0.240821612511	0.00345522522443	0.00151181714557	4.951231023e-05	4.44892102222e-06	1.95917023761e-06	2.96816223111e-06	5.66106850556e-07
k	0.213397940556	0.443886157704	0.326282572837	0.00715708174148	0.00921517464852	5.20660080767e-05	3.45077120741e-06	1.55975224587e-06	1.6227597437e-06	2.33729457352e-06
o	0.157209714852	0.412999995901	0.338785926279	0.0331402929138	0.0573333405495	0.000492947580692	1.70826258691e-05	7.60142731529e-06	3.8439376479e-06	9.22493075784e-06
e	0.091906256284	0.1464537993	0.496776702093	0.163624170971	0.100432132183	0.000757928483564	2.38919709564e-05	9.6618711051e-06	5.01937221597e-06	1.04457570526e-05
n	0.038702512328	0.0527532984333	0.384881830698	0.42210669699	0.0994530327277	0.00173576411785	9.01477859855e-05	0.000109720511368	0.000151933529739	1.50615041509e-05
p	0.0267010343427	0.0226818962444	0.184333698133	0.698170865663	0.0651664595759	0.00222420537262	0.000148609055328	0.000186897547123	0.000266520343246	0.000119797094717
r	0.0224260570142	0.0135624585148	0.0672533469443	0.869907788554	0.0248355398586	0.00119382582421	0.000128625480443	0.000331831342374	0.000212573767749	0.000147942366239
a	0.00922481430473	0.00811105570827	0.0487235453148	0.652094086185	0.279916877953	0.00132020200807	8.85533288143e-05	0.000336884263791	0.00012907709265	5.48809239797e-05
t	0.00371616740158	0.00290220533276	0.0441343091049	0.395646178728	0.539625092651	0.013315602536	0.000383898832938	0.00020098387093	5.46830542833e-05	2.08874962932e-05
ì	0.00136454481053	0.00109718763425	0.0219285808016	0.279751244243	0.67726589755	0.017889185512	0.000511996225979	0.000154546986753	2.88869266244e-05	7.92857280107e-06
m	0.000877517880177	0.000549484541417	0.0125220153672	0.120009679414	0.844690999183	0.0207699721707	0.00046452040366	7.3214285361e-05	3.34157974048e-05	9.16413957036e-06
à	0.00807307412673	0.00118057011381	0.0207920887891	0.067482203138	0.865218409728	0.0351009420569	0.00192055541455	0.000159435038454	5.59041158016e-05	1.68231728568e-05
i	0.0200410160422	0.00161883273794	0.0216578099297	0.035669255046	0.646942169909	0.259917390686	0.0131596229382	0.000915391579485	5.62156519339e-05	2.23188426189e-05
n	0.0177815157474	0.00130904397931	0.0112302285766	0.014637257482	0.316257393303	0.560300696895	0.0735130309794	0.00300510899316	0.00188918958064	7.6516001873e-05
e	0.00889931454913	0.000896124793103	0.00502051122553	0.006559965894	0.144746822434	0.695660065632	0.128852216993	0.00676855713105	0.00250390308855	9.24375319577e-05
m	0.00488305076971	0.000425056819034	0.00200462707518	0.003022818448	0.0828946968113	0.710273321877	0.179550522331	0.0133453667103	0.00286715515785	0.000733330541986
m	0.0057406456099	0.000418185051011	0.00270235735839	0.0720270410327	0.0585484779371	0.528073373959	0.220389687444	0.102955693903	0.00548726091928	0.003657273714
è	0.00707493863663	0.00072405867367	0.0155033735528	0.0969493183442	0.0709570703124	0.36384799132	0.300016092481	0.134137673968	0.00672641460643	0.00406310077133
n	0.0100123053122	0.00104229089122	0.0344370761843	0.0352232325481	0.0769202931041	0.355822907107	0.368926217494	0.087504520656	0.0111208949688	0.0189902974571
o	0.0585557657707	0.00667864439707	0.0296252255614	0.022672257616	0.0422488110347	0.310234059036	0.338637765831	0.150501420219	0.0157130756563	0.025132997619
m	0.0684195607236	0.00816998349902	0.0115880678071	0.017735392752	0.0213001350449	0.225172273012	0.285070631944	0.277803540073	0.0730767272188	0.011663720673
i	0.0231546856279	0.00282204911967	0.00400424686903	0.00604573591733	0.00833866038163	0.172050577671	0.204053977315	0.421867146691	0.137029379073	0.020633569891
n	0.00799781758263	0.00102633348656	0.00145243454034	0.00214902860911	0.00362346706721	0.105517519224	0.154722552438	0.470846988897	0.227881913024	0.024781957297
a	0.00413172321421	0.00057739244552	0.000586762317447	0.0012083902197	0.00176933229574	0.052319010408	0.115128169813	0.450593069632	0.327942031008	0.0457441214323
l	0.00275791254607	0.00038547476184	0.000282769034816	0.000832054445233	0.00107716195525	0.0274147318027	0.062725218271	0.434819139877	0.412172177003	0.0575333344774
i	0.00126108249002	0.00019683877728	0.000112246779272	0.000415380703744	0.00049485402175	0.0127234499009	0.0301027109237	0.335397116626	0.501712325668	0.117583970492
p	0.000736256907673	0.000118383132427	5.39190120907e-05	0.000262943213248	0.000268953308583	0.00563385926697	0.0127997217412	0.210345613542	0.619919991889	0.149860363497
ù	0.000259770094224	4.61854194757e-05	2.26490486969e-05	9.20190365493e-05	0.000105424385861	0.00226929902566	0.00546403611373	0.112441875981	0.807803423963	0.0714953278323
n	0.000116420732075	1.85359634919e-05	1.23436382323e-05	3.98779473164e-05	3.9873295087e-05	0.00097435633522	0.00198929138458	0.0409065327937	0.898379884654	0.0575228792774
a	0.000765728730692	7.61541828306e-05	4.08270537441e-05	0.000581589180772	6.2135759829e-05	0.00055850303174	0.000783415988193	0.0159767623312	0.663805951551	0.317348929759
</S>	0.00143147621535	0.000139770401415	7.16591018721e-05	0.00113190749039	0.000102468364914	0.00038950031087	0.000450681664096	0.0090492722656	0.429839410775	0.55739386488
