 	i	bambini	non	possono	mangiare	non	possono	mangiare	il	gelato	prima	di	mangiare	</S>
a	0.90658565	0.075911835	0.00965100693	0.00627392056	0.00080808467225	0.000630195261	7.18594842e-05	1.7045918672e-05	9.1439972615e-07	4.776081644e-05	2.802177657e-07	3.868170681e-07	4.357123365e-07	5.88304789e-07
p	0.6176055	0.363278461667	0.00974901842	0.00767687985333	0.00082648901175	0.0006303583358	0.0001625182514	1.9013856124e-05	1.46057540872e-06	4.77973404567e-05	1.04049170857e-06	4.117054527e-07	4.58849848833e-07	5.88507117333e-07
e	0.273304605	0.710172503889	0.0115075345833	0.00433141115111	0.000298698464583	0.000212572821067	0.000145658105333	8.36774060133e-06	1.03481434381e-06	1.59989987439e-05	1.10832333811e-06	1.62733434543e-07	1.77386169901e-07	2.06420203444e-07
t	0.1158245158	0.865757701296	0.0136371073944	0.00446281791704	0.000144962227861	7.34371638223e-05	8.92581466443e-05	3.82227426044e-06	4.32962875503e-07	5.35547208497e-06	4.22887757957e-07	6.03359941577e-08	6.36912775903e-08	7.2006428548e-08
ì	0.0393953135767	0.946829480432	0.00810512313147	0.00546153107235	0.000106058849287	2.75412707408e-05	7.03388357481e-05	2.29570050348e-06	2.32441831768e-07	1.80142161932e-06	1.94371506869e-07	2.62096137526e-08	2.58113184101e-08	2.52321458827e-08
a	0.0191326437022	0.670073350144	0.198417604177	0.101041890124	0.00791112988976	0.000738671243247	0.00262138237545	5.85699571845e-05	6.09025863856e-07	2.91043140877e-06	1.79659846506e-07	8.03554479509e-08	1.31810418017e-07	8.26735000928e-07
e	0.0137420711341	0.252009767715	0.443087651392	0.253039896708	0.0322304096299	0.00192356898108	0.00387099425848	8.93047240615e-05	8.30837754619e-07	3.78102050292e-06	2.14823118835e-07	1.0729632665e-07	1.84252872672e-07	1.18555862364e-06
s	0.00639089970137	0.0966842745717	0.372986750464	0.457213582236	0.0614328545433	0.00179480746036	0.00335409255283	0.000133876146354	3.97269421821e-06	2.13707446764e-06	1.73430980961e-06	2.6810154955e-07	2.02173100891e-07	5.01777743547e-07
ò	0.00238583970046	0.0500781258572	0.175253589488	0.710795010745	0.0571764728478	0.00101095750345	0.00315265038428	0.000138354782585	4.94867662607e-06	1.13607792255e-06	2.20592778987e-06	3.14920462683e-07	1.9352384063e-07	1.85300322516e-07
z	0.00295639561015	0.0348344536191	0.338265185829	0.554048481582	0.0669999809493	0.00134067005115	0.00148061007476	6.7260827995e-05	3.46121699536e-06	5.24242514183e-07	2.20646668329e-06	3.06670247061e-07	2.07283593877e-07	2.59756826505e-07
u	0.0117417058701	0.0255455675397	0.48158359861	0.213364836194	0.254333640316	0.00486215568372	0.00783540410492	0.000709693709332	1.15202908985e-05	5.43345371139e-06	3.9701454611e-06	5.95495782354e-07	6.44348271292e-07	1.21185139884e-06
n	0.01789772529	0.0163070508466	0.386450599537	0.106655819731	0.439492033439	0.0177436472279	0.0129208673683	0.00231106523644	9.33073009662e-05	6.55796359038e-05	2.84549768204e-05	1.34207713275e-05	1.29046339238e-05	7.53890696628e-06
e	0.01215152583	0.00857021499887	0.265694773846	0.0866442612437	0.566923491146	0.0433281014093	0.0138183484561	0.00258907294548	0.000115416065655	8.68584153013e-05	3.49546847535e-05	1.74781979325e-05	1.67266048079e-05	8.82807998876e-06
f	0.00497350788667	0.00379508188296	0.116721649615	0.173456898415	0.639287777049	0.0443177214698	0.014858826152	0.00226660131516	0.000176475553885	5.37750124338e-05	4.38341540645e-05	1.92929368008e-05	2.1189322436e-05	7.38092399625e-06
à	0.00173314387722	0.00195580269099	0.0618108045383	0.176632448805	0.71117199235	0.0316899648233	0.0118307107173	0.00284286997172	0.000197390719462	3.90158384779e-05	4.67161106562e-05	1.98305839403e-05	2.251657474e-05	6.80109428875e-06
i	0.00399214433074	0.00163025299366	0.0323347538461	0.0696746566017	0.777349964117	0.0706712599411	0.0295450785724	0.0145950293906	0.000137133137987	3.4910744826e-05	1.74567018534e-05	6.89400216677e-06	7.92976147467e-06	2.55717815292e-06
e	0.00964711527691	0.00293006896455	0.0246535369487	0.0275323013339	0.654951588039	0.156612353314	0.0618817928575	0.0613256374635	0.000366358375996	7.66671866087e-05	1.39706682845e-05	3.18964383559e-06	3.98751125822e-06	1.39809531764e-06
s	0.00825561736564	0.00256996192152	0.0152562259829	0.0151885752446	0.439645839346	0.157665191105	0.200486724286	0.155955785821	0.00453371764533	0.00037359001887	5.13612180948e-05	1.07351212119e-05	5.65420121941e-06	9.62458739213e-07
ò	0.00292923699188	0.00128619474051	0.0067843505943	0.0112832089482	0.225942567782	0.077399951035	0.470454054762	0.19704255194	0.00632818721511	0.000472277349623	5.87818246316e-05	1.27490046706e-05	5.31010939647e-06	5.52088951738e-07
z	0.00155945542729	0.000847893213503	0.0075726377981	0.0079664733494	0.174842827261	0.156675081012	0.424721546921	0.219447017313	0.00596439973837	0.000315470226541	6.30959934772e-05	1.71568844902e-05	5.22222445549e-06	1.69798422258e-06
u	0.0074570948091	0.00491257677117	0.00947019126603	0.00713657261647	0.14878066242	0.206205320337	0.170893213307	0.413694582438	0.0295078342461	0.00146779550885	0.000382228744492	6.27945948301e-05	2.58420244852e-05	3.27819850753e-06
n	0.00971586750303	0.00648457089039	0.00787217175534	0.00628319673882	0.0699164254733	0.136056081446	0.0867384344357	0.598425177479	0.0677162547487	0.00963481690295	0.000810612414831	0.000199467648277	0.000131754674828	1.51654422692e-05
f	0.0524847207343	0.0099768015968	0.00943450425178	0.0251608764463	0.0518639838244	0.0914036461487	0.0865506458119	0.502558052493	0.130476644916	0.0111699801476	0.0260896490716	0.00106645106609	0.000972373118276	0.00079167826509
à	0.0686674477448	0.0141633693656	0.00977760008393	0.0341541101488	0.0486249776081	0.0585567597162	0.0995738652706	0.477934627498	0.144698824972	0.00564837906253	0.0346687612905	0.00127400313203	0.00120030098276	0.0010569992417
i	0.0320231080816	0.0141424979552	0.00659244382798	0.0180868258829	0.0308487130027	0.0548829599054	0.0690540560902	0.549596982499	0.200774588324	0.00864295318751	0.0138205706968	0.00064730536401	0.000505047057587	0.000381936639233
o	0.0182809244939	0.0112116634517	0.00303091067599	0.00875210002763	0.0120133172342	0.0394176896351	0.0360537133634	0.521085954166	0.324872916108	0.0168470037292	0.00753869239893	0.000519581448003	0.000236224948529	0.000139284484511
g	0.00730407221397	0.00417435012157	0.0011516192938	0.00323258421354	0.00464681012807	0.022526403745	0.0365401637878	0.420671818055	0.451469872036	0.0173299562431	0.0265327509663	0.00422117203267	0.000147113392176	5.13165492703e-05
e	0.00265514478732	0.00148380689819	0.0004031396864	0.00117298732218	0.00196350504936	0.00970575698167	0.0346595047626	0.291661066018	0.581811304012	0.0153605127477	0.0508012003221	0.00814849667756	0.000148431974059	2.51456604234e-05
l	0.00111752770477	0.000594095601397	0.000162575790467	0.00049370858406	0.00093577847312	0.00537529696056	0.0188320314209	0.243492045339	0.612531568004	0.0164065792492	0.0787530334407	0.0204296218925	0.000700352801353	0.000175790389141
à	0.000413258465923	0.000249953554466	9.53506738223e-05	0.00024283605802	0.000663633724373	0.00403486842019	0.012954296807	0.193930118446	0.577654589335	0.0131292517497	0.13476169448	0.0595583506308	0.00204592480045	0.000265893913047
o	0.00925959407731	0.00640434125682	0.000512813126607	0.00489456701934	0.000861634808124	0.00591606280673	0.012116242269	0.127345718815	0.490295136445	0.0169890969166	0.172992314827	0.146071536877	0.00527778316682	0.00106316724102
p	0.0121948076531	0.00842341755327	0.000623287349869	0.00639834912278	0.000758275438041	0.00604975880891	0.00931415138967	0.0641998962717	0.337169472148	0.0166274276389	0.238648868276	0.284304205626	0.0129946840556	0.00229341564701
r	0.0040779474757	0.00281264771896	0.00021151508779	0.00214061920826	0.000267186134014	0.0021825873203	0.00388621726322	0.0277823063239	0.177518816716	0.00737469181297	0.449579156092	0.277824828542	0.0406969323519	0.003644598349
ò	0.00155444308923	0.000985396849853	0.000170047132763	0.000768815243753	0.000243732947338	0.0038292962841	0.00239274608774	0.0194091773413	0.092127913572	0.0281279595377	0.450760165364	0.241903262847	0.141809254117	0.0159178291163
p	0.00104614516308	0.000390249689951	0.000196904614254	0.000323227387918	0.000258620345779	0.0072472800947	0.00130417785258	0.0178425276804	0.0562325371907	0.0580715615126	0.284950011788	0.301532874282	0.242188621372	0.0284152520388
p	0.00568792872103	0.00065448662665	0.000193822258085	0.000562888412639	0.000267068841926	0.00565269319823	0.00151741794086	0.0134763774601	0.0340426517302	0.0426558411209	0.369258413929	0.250421838094	0.236026213791	0.0395823346796
i	0.0102412020737	0.00348899407555	0.000261749686028	0.00270985500421	0.000364823233975	0.00256142033274	0.00307070451362	0.0102681409534	0.0236161012434	0.0145167794236	0.34366888931	0.231144179365	0.222654661264	0.131432489893
f	0.0067738506789	0.00392704465618	0.000201770097243	0.0029882650192	0.000247672419992	0.00122588282091	0.00256012716354	0.00416006411113	0.0129929817478	0.0082802552412	0.166190221103	0.354736413122	0.287158780421	0.148556673298
à	0.0023154199773	0.00133971743506	7.5118248981e-05	0.00102502232087	8.9333997664e-05	0.000595926690303	0.000902257513513	0.00159694224704	0.00657904264927	0.00623875854707	0.079129258701	0.320188391041	0.51611610014	0.063808715766
i	0.00260317442243	0.00203837873035	7.3158204327e-05	0.00156874310362	8.55730582213e-05	0.000396364560101	0.00104203917117	0.00073433297568	0.00298348506976	0.00231971836936	0.0320958588003	0.145440037014	0.55549661338	0.253122519922
</S>	0.00398675121121	0.00336502586518	0.000100667847163	0.00258510645181	0.000119824484111	0.000278860565051	0.00156771958559	0.00052962350284	0.00191323471488	0.00117258026518	0.0193681707501	0.086660768507	0.41593445669	0.462417189961
