 	sta	e	dorme	nel	letto	</S>
s	0.82915837	0.17046122665	0.000119516469	1.49636355e-05	0.000243669029	2.28453902e-06
t	0.569173353333	0.41718767555	0.0120558845663	0.0010631483765	0.000498936509667	2.09512227867e-05
e	0.277478504444	0.702435378517	0.0180017980554	0.00156965106883	0.000458254083222	5.63578502622e-05
c	0.108982378148	0.769851526172	0.115129870885	0.00244922529961	0.00332845490774	0.000258536076754
e	0.0459950930493	0.774648855391	0.166870343628	0.00721261009987	0.00486227576925	0.000410873358918
p	0.0239021570498	0.667890618464	0.242462474543	0.0272481390333	0.0326520910564	0.00584459718631
l	0.0108545582166	0.372302082821	0.460947408181	0.0444144876778	0.103448300352	0.00803322222877
ò	0.00649099933887	0.175439166607	0.513217829394	0.196701270559	0.104815632451	0.00333513199292
n	0.00291501327962	0.0753461592023	0.602298516465	0.249659585186	0.0649471131503	0.00483362474764
n	0.00268858382654	0.0483083797341	0.674511152155	0.197463990062	0.0696516010501	0.00737628281588
i	0.00629634160885	0.0377144420114	0.414685163552	0.213589230021	0.310033973683	0.0176808168386
s	0.00605238201762	0.0154107739038	0.152884369017	0.140993467674	0.664218891228	0.0204401162795
t	0.00202927180021	0.0062739916346	0.064924439439	0.074964523558	0.834696997076	0.0171107684265
o	0.000865047699737	0.00296370854487	0.023793726813	0.0420778368527	0.855254199025	0.0750454741422
g	0.000479066031246	0.00149548211496	0.0112160505043	0.184283114618	0.699054079675	0.103472224714
r	0.000173752585415	0.000951677511653	0.00683777833477	0.230666868539	0.685355406558	0.0760145199047
à	0.000102978730138	0.000421670095884	0.00259857199492	0.095545010513	0.789674855519	0.111656908302
t	7.79566283793e-05	0.000212515873961	0.00201611041497	0.0879797475043	0.807441205173	0.102272465234
t	3.51920031264e-05	0.000120349718654	0.00171359311866	0.0745777565014	0.885028668391	0.0385244556447
i	5.10352543755e-05	6.0051216218e-05	0.000585909549887	0.0257531625205	0.635354375797	0.338195493315
</S>	7.64984371878e-05	4.8400817109e-05	0.000305227119943	0.0131458407902	0.332376817399	0.654047246658
