 	l'	ho	sentito	quando	veniva	</S>
t	0.95668753	0.04316353	0.00011207769	1.303947675e-05	2.26781985e-05	1.126219635e-06
o	0.648228616667	0.129136	0.22102271181	0.00032126058925	0.0012646519845	2.6759655935e-05
n	0.316498628889	0.379337293333	0.301110840937	0.00111334306308	0.00167787946767	0.000262028351978
ì	0.185500334463	0.386261042444	0.420284730646	0.00651985215436	0.00111356196206	0.000320468639659
k	0.0639982202543	0.160732474481	0.762930590215	0.0112092460515	0.00101441416069	0.000115063700353
u	0.0365427730181	0.113671780494	0.767646430072	0.0479691653505	0.0324664891936	0.00170344060825
s	0.0265014288627	0.0874514298313	0.497594246691	0.343291400117	0.0429186561612	0.00224288310075
a	0.0112247541442	0.0409064272771	0.36992107223	0.518997946706	0.0568864284837	0.00206334466492
m	0.00583777020473	0.017100405009	0.29390715041	0.612759015569	0.0616851420279	0.00871049355497
ò	0.00198165771658	0.00594990738967	0.108856028137	0.787270771856	0.0861579065426	0.00978368908499
t	0.00071404164386	0.00208332034656	0.056673200379	0.830020873952	0.104566420181	0.00594209506166
t	0.00241114812795	0.000992877328853	0.0358417804597	0.841212174651	0.103109024727	0.0164329528206
e	0.00717740304265	0.00135192857628	0.0153243631299	0.562564818217	0.287507754909	0.12607369094
è	0.00670242095755	0.00125571651876	0.00543108711997	0.220902229406	0.602987931636	0.162720610313
r	0.00230634404852	0.000460703176587	0.00199518841999	0.300219429802	0.612001833879	0.0830165051043
k	0.00261005913551	0.000284952192529	0.000885479046663	0.340283616601	0.368988484626	0.286947400035
a	0.0027677270385	0.00025175641751	0.000471318055554	0.1374450816	0.387877078209	0.471187000012
t	0.00100274041517	0.000126937384503	0.000245577594851	0.173772643267	0.360933202736	0.463918853337
o	0.000367674270723	5.4866029401e-05	9.69282179503e-05	0.184873334849	0.255466977579	0.559140204446
</S>	0.000215032220362	3.09973435505e-05	6.04263939751e-05	0.0925119630645	0.281635938789	0.625545652223
