 	la	casa	la	costruirono	i	muratori	</S>
o	0.79949795	0.17936723185	0.020780270394	8.76370248e-05	0.00020025081445	6.43419514e-05	2.390170695e-06
s	0.51057608	0.462649410617	0.0262532501313	0.0002445594216	0.00020938829215	6.47423049667e-05	2.57117055167e-06
p	0.222933026	0.754384703539	0.0222568890438	0.0003138707072	8.066120185e-05	2.94602558222e-05	1.33925282722e-06
ì	0.112898091333	0.84597640118	0.0408938486813	0.0001845155984	2.91053968833e-05	1.70448421407e-05	9.3551816574e-07
t	0.068705008111	0.602821883727	0.325347896227	0.0030807702388	3.68322447611e-05	6.5675812469e-06	1.05805865525e-06
i	0.0721722803703	0.269776079909	0.648313798742	0.00605113474627	0.00294417997492	0.000714056750416	2.85177170851e-05
o	0.0731753692901	0.118259195303	0.794874889581	0.00859432291542	0.00408534635831	0.000973242463472	3.76734489284e-05
f	0.02581327908	0.046460951101	0.795041453194	0.129346116972	0.00280841681944	0.000419312751157	0.000110518284209
a	0.00913063197667	0.022879264267	0.782234031065	0.181231717657	0.00415810433981	0.000230961714386	0.00013532368227
b	0.00389460015889	0.0118078056557	0.665020023688	0.307497707886	0.0112393656799	0.000332207152129	0.00020830466829
b	0.00453058141963	0.0172680235519	0.335491997896	0.625229902629	0.01612433956	0.00101003685071	0.000345129572763
r	0.00667840720654	0.0269520765173	0.170248805965	0.773065587543	0.0210703908533	0.00170620135024	0.000278519094254
i	0.0211153944688	0.0211106661724	0.135745615322	0.565523049181	0.0553865706178	0.186695299483	0.0144233857514
k	0.0502579158229	0.0150604793908	0.112827561774	0.349577089727	0.169479945206	0.267766489828	0.0350305115838
è	0.234989073608	0.0651738164636	0.120932863925	0.249779231909	0.181179700069	0.117027800609	0.0309174701946
t	0.278516654536	0.0768605368212	0.133262094642	0.24795720597	0.189902545023	0.0522933268697	0.0212076250649
s	0.112894127512	0.0317082309404	0.099396478214	0.433522188657	0.279271385008	0.0257099249566	0.0174976886883
a	0.0636890818373	0.0283892909801	0.0595421104047	0.400010712886	0.412611155003	0.0243799916522	0.0113776572294
n	0.0358522358338	0.0217763171084	0.0265165319016	0.227370414295	0.640544668334	0.0409108892174	0.0070289449098
e	0.0130192207659	0.00757065828447	0.00958093390053	0.119955294765	0.712888272778	0.127676148406	0.00930943380327
e	0.00557625042197	0.00290726895482	0.00361090866684	0.0693669349217	0.724023140926	0.182638992802	0.0118764592678
f	0.00206122719932	0.00109321235494	0.00143564503228	0.0423987299739	0.739476813642	0.189345840934	0.0241885134226
a	0.00075142811844	0.00040960109998	0.00062241033076	0.0177847060913	0.552965391214	0.379126473645	0.0483399624742
b	0.000391107542813	0.000268109358327	0.00035410847692	0.0079748538971	0.353734090405	0.536912534548	0.100365188825
b	0.000843965624271	0.000514119722776	0.000573497848973	0.0166310320657	0.289261013468	0.458206128183	0.233970259608
r	0.00135720704142	0.000797514037592	0.00120910624966	0.0389509006886	0.290415047823	0.365019936061	0.302250309869
i	0.00237207288047	0.0010031175592	0.00140236094989	0.0344303838962	0.215549664941	0.357598058687	0.387644366623
k	0.00365644892682	0.0014569397864	0.00107347701663	0.0141638138987	0.0832568933137	0.272961582896	0.623430878874
a	0.0438980854089	0.0527936828288	0.00769763777221	0.0350778768996	0.0381077755379	0.137533687632	0.684891259625
t	0.0561829786196	0.0692415601296	0.00969654570074	0.0409723356432	0.0151623780126	0.139314969211	0.669429219875
ù	0.0233101000232	0.0310915212299	0.00457318614358	0.0172169992244	0.0173007247375	0.27470855307	0.631798939958
r	0.0120909391297	0.0183374947473	0.00281101854453	0.0091619566408	0.0187796235792	0.554590851023	0.384228143319
i	0.0077112388319	0.00957276191977	0.00156630981151	0.0080083367796	0.0083066379264	0.546788433674	0.41804629444
</S>	0.00935326491595	0.00997192295988	0.00172152030575	0.0114296458898	0.0050486425632	0.351454091837	0.61102092222
