 	nella	pasta	vuole	sale	</S>
s	0.984269645	0.01509178615	0.000600527943	3.74055408e-05	6.0115632e-07
t	0.908618761667	0.09036309605	0.000855164791	0.000159980778267	2.95788235333e-06
i	0.679345807222	0.31469585535	0.00547324917367	0.000397932982756	8.71494764511e-05
p	0.351706986407	0.514162211783	0.132713082058	0.00125772566092	0.000160036398817
à	0.128441234802	0.578518450594	0.291498980686	0.00142133768697	0.000120051056939
s	0.048342421234	0.658806250198	0.291690946895	0.00109877629566	6.16471229797e-05
t	0.0180796931447	0.799184730066	0.181587103632	0.00111239039855	3.61210209932e-05
a	0.0147217348149	0.626404710022	0.348808019211	0.00940748323285	0.000658062900331
t	0.0121271026796	0.256338666674	0.637351839737	0.0927296730776	0.00145271046678
è	0.0041127125112	0.0941540833913	0.766550303246	0.132878284359	0.00230464085559
l	0.0015064286004	0.0358546079638	0.701197644415	0.259321341453	0.00211999643186
i	0.0652959247535	0.0170264341546	0.397739888138	0.469392227151	0.0505455036906
à	0.0882473757178	0.00728575483487	0.164419434379	0.640748955717	0.0992984712302
l	0.0312150079269	0.00278762206162	0.061022537793	0.838201198572	0.0667736509101
a	0.05204955453	0.00173621685387	0.025074551831	0.626065834857	0.295073860803
</S>	0.088480937265	0.00195532842694	0.0153421077655	0.338857570428	0.555364080402
