 	l'	ho	sentito	che	viene	</S>
o	0.611734	0.0801723265	0.288848497695	0.0025192464868	0.0164242152015	0.0003017014385
n	0.359073233333	0.3231372955	0.296999039898	0.00321978696227	0.0164197027183	0.00115094413283
ì	0.197439752311	0.366890551833	0.414382973966	0.0113166607874	0.00869873889057	0.00127134868928
k	0.0680465943037	0.239750950611	0.665101611322	0.0204459775958	0.00618854633686	0.000466328169093
u	0.0444875471012	0.236807030204	0.557334003774	0.126709847865	0.0260704991523	0.00859105068403
s	0.0352915488004	0.143880172401	0.346936901258	0.425480015955	0.0344787023841	0.013932658228
a	0.0137235608001	0.0626998791337	0.180419458753	0.446552581985	0.249488701795	0.0471158404093
n	0.00628696191003	0.0236519089112	0.083976871251	0.413097350662	0.358638123932	0.114348790136
a	0.00243971078001	0.00881636623707	0.0330081451503	0.373254662221	0.327099651311	0.255381450045
r	0.001052825196	0.00324510667569	0.0116981358901	0.161230549407	0.303910767104	0.518862593348
t	0.000398413108	0.00118199580523	0.00535902797003	0.204348753136	0.258684105701	0.530027681116
i	0.000197004639333	0.00042703481241	0.00338199210001	0.189767349845	0.225930909567	0.580295677039
</S>	0.000140268164667	0.000229348147205	0.00197728536501	0.0983401131225	0.126423986283	0.77288895352
