 	la	sorella	mia	si	non	è	venuta	ancora	ancora	qui	</S>
e	0.89059233	0.1057300088	0.0018275895465	0.00015749461155	0.0013959656605	0.00027802929335	3.99063208e-06	1.0171111915e-05	3.955135157e-06	1.141074185e-07	4.266349e-07
d	0.79395202	0.199204692933	0.0044932126155	0.000618444027183	0.001394421106	0.00028106426845	3.33012720267e-05	1.65440096383e-05	4.75465985233e-06	1.10200386617e-06	4.69128276667e-07
e	0.567271843333	0.424688590978	0.0064197126385	0.000725696909061	0.000738326687833	9.87301134833e-05	4.04908065089e-05	1.24406182128e-05	2.59064917078e-06	1.35964009416e-06	2.49065038889e-07
r	0.266676672778	0.712634463659	0.0180518126462	0.00201863930302	0.000521913966278	4.01421524944e-05	3.82374546696e-05	1.31507894043e-05	3.20200794359e-06	1.61895773682e-06	1.69301916296e-07
f	0.224585475926	0.722065787886	0.0446163222154	0.00753322233434	0.000490246559093	0.000274429398831	9.61632015565e-05	0.000163133225135	0.000127687717115	3.70474943123e-05	1.04787086054e-05
ì	0.203504851975	0.742524029295	0.0439512074051	0.00797953211145	0.0011613445197	0.000354589583944	9.08588034955e-05	0.000204790233698	0.000167094559032	4.77343684608e-05	1.39991677251e-05
m	0.081829762325	0.853384476432	0.0539899878017	0.00846244370382	0.00128039437323	0.000731052235648	4.29273124752e-05	0.000152689193219	8.65612416707e-05	2.75003531769e-05	1.2194872765e-05
u	0.049021084775	0.639813048811	0.200360747934	0.0877935092346	0.0193498165911	0.00257342844522	0.000226131485825	0.000652510354406	0.00016843616589	2.4252134059e-05	1.7015886255e-05
s	0.0280266265917	0.33391263627	0.415725319311	0.192264736412	0.025622148097	0.00321535338174	0.000302861098608	0.000741423419802	0.000165680890063	1.19876649863e-05	1.12524115127e-05
i	0.0107082796639	0.162922689423	0.452723443104	0.220664542137	0.147927950599	0.00453784459391	0.000146370588536	0.000295152701601	6.5092722121e-05	4.48075477877e-06	4.15641959857e-06
e	0.00797639635463	0.0627738754743	0.417913741035	0.280995470712	0.2235228982	0.0059688905313	0.000206730995179	0.0005542591272	8.3210664707e-05	2.33853284292e-06	2.19829303286e-06
n	0.00892228845154	0.0314118718248	0.399743723678	0.384753230237	0.133865940733	0.0151426805104	0.0117212138917	0.0093692431424	0.00465998506824	0.000359647046381	5.01745131776e-05
è	0.00965734648385	0.0188921369416	0.323726771226	0.411092566746	0.133039383578	0.0657820481701	0.0185213002972	0.0125610286475	0.00618242338275	0.000478984304894	6.59797292592e-05
e	0.010224583328	0.00920399858053	0.234353263742	0.355800938915	0.251182571193	0.114256176057	0.0140835280991	0.0083753744825	0.00233415602092	0.000162075086398	2.32806602864e-05
r	0.007046333376	0.00465414656018	0.147726691247	0.319815282972	0.230714761064	0.112120195352	0.1618656997	0.0146081594942	0.00137364380697	6.50320301327e-05	1.00159203621e-05
t	0.00258833573867	0.00201470183339	0.092385063749	0.308936807657	0.0831374082547	0.0883164111173	0.398096033233	0.0234204731647	0.00105819301899	4.01351743776e-05	6.45332585403e-06
o	0.00188812009289	0.00117267982446	0.063604934583	0.252977159219	0.0978409399849	0.110481829706	0.412161697744	0.0583456927216	0.00149421615633	2.65386397925e-05	6.21520555134e-06
m	0.00176256717096	0.000884984511487	0.044449525861	0.165952683073	0.110283548995	0.135041503235	0.467978432581	0.0707764669072	0.00213992355211	0.000513234836597	0.000217122090984
è	0.000836988086987	0.000562643253829	0.0247254816203	0.089516385691	0.0512875259983	0.224086784412	0.536032947527	0.0699169666357	0.00206623958404	0.000680532837866	0.000287517863228
n	0.00261959338566	0.00060422836461	0.0166800772068	0.0436503457303	0.0290820256661	0.421585988137	0.385521292509	0.0945274488786	0.00418336976135	0.000892042838289	0.000653615087309
a	0.0196375062619	0.00433626055487	0.0142343034023	0.0225393360768	0.0412322148887	0.360990219379	0.30735667417	0.187359339626	0.0391680772538	0.0022850557461	0.000861027112436
a	0.024734504754	0.00550041063829	0.00941430780077	0.0106355621023	0.0405723901296	0.136654545793	0.237067608057	0.418850373209	0.113936569085	0.00223230559203	0.000401437342479
n	0.0102786645847	0.00216623137943	0.00369913822026	0.00402087267743	0.0168177133765	0.0537916112643	0.230067372686	0.509088617736	0.162801683028	0.00636593320734	0.000902211935826
c	0.0046226232949	0.000848902673143	0.00176514257675	0.00195679149248	0.00689002045883	0.0254138631214	0.263568400895	0.477018599245	0.166056564343	0.0470489260691	0.00481026427861
o	0.00247481806497	0.000317433806048	0.000857170188917	0.00095191427916	0.00259192747294	0.00873713644047	0.158618666965	0.549453433082	0.213878464781	0.056152868023	0.00596624309287
r	0.000925221632323	0.000121493725016	0.000325792010639	0.000367225016387	0.00134630095431	0.00429365984682	0.153801998988	0.569081667694	0.234465001594	0.0307538420077	0.00451782503096
a	0.000634333654774	0.000104716746339	0.000194369214546	0.000203191177129	0.000868789828103	0.00273056988894	0.147355159663	0.466179669231	0.350566387198	0.0270259463359	0.00413685914365
a	0.00110296858492	0.000144193915446	0.000210064164849	0.00014400163571	0.000558007696034	0.00097955441498	0.0543904437877	0.298952248077	0.621648795733	0.0190073147786	0.00286240314788
n	0.00102706155497	0.000118810353482	0.00019467578495	0.000115215425237	0.000316894355345	0.00053122067366	0.0217881221626	0.160566527692	0.654311231911	0.138689371926	0.022340845016
k	0.00265231267832	0.000182330956161	0.00055446704165	0.000262141365079	0.000196995398448	0.00040276433622	0.0115289977875	0.0935313658973	0.436198157304	0.375604140642	0.0788862783387
ò	0.00368223299277	0.000286773045387	0.000864040547217	0.000368938845026	0.000228266962816	0.00024794247374	0.00582716019583	0.0627722119658	0.318126299101	0.519919750214	0.0876763727796
r	0.00186763107092	0.000205599608129	0.000548717123072	0.000230681804675	0.000230868078272	0.000196020762913	0.00309486249861	0.0501187299886	0.3964130897	0.495042246738	0.0520515509265
a	0.00115008836364	0.000149318189043	0.000342941738357	0.000169085591225	9.5544498424e-05	0.000110422727971	0.00164883389954	0.0310831237295	0.314959459567	0.457577015579	0.192714160309
e	0.00087374858788	0.000128913409114	0.000261578362452	0.000140338740408	4.32177992747e-05	5.03437557903e-05	0.00075850258318	0.0128875848098	0.223813812856	0.427152628526	0.33388934677
t	0.00032035641706	4.51513299947e-05	9.10871862507e-05	4.8645835636e-05	1.66667024249e-05	2.05058535968e-05	0.00040177651106	0.00724939616993	0.207919797619	0.545427542842	0.238459122257
t	0.00010829615697	1.53721255116e-05	3.09690313502e-05	1.6771703932e-05	6.39895227497e-06	9.40177959893e-06	0.000290764418353	0.00383769908998	0.091420154873	0.799957394281	0.104306836086
ù	5.13313145067e-05	8.21429216053e-06	1.48872716167e-05	7.91163639733e-06	1.88272756917e-05	7.30329156631e-06	0.000142319158451	0.00191234186333	0.049755936291	0.771471378094	0.176609567362
</S>	4.80685052533e-05	8.66345958026e-06	1.41202823083e-05	7.23375099867e-06	3.43094548459e-05	9.11229653316e-06	8.57865357255e-05	0.00159721673167	0.0486723716455	0.654802289047	0.294720823681
