 	hai	già	mangiato	</S>
ì	0.692105845	0.221619588	0.08617616592	9.8427964e-05
s	0.509703621667	0.402933352667	0.08727326004	8.9786771e-05
e	0.344189250556	0.613325684222	0.0418903814133	0.000594704243333
g	0.144219740852	0.815580261407	0.0394307714711	0.000769232975778
i	0.058116493284	0.889988467136	0.0499010214904	0.00199399131993
à	0.024988143428	0.749745302379	0.21553032383	0.00973618490664
f	0.00979444718933	0.476209330793	0.503040841277	0.0109553358689
a	0.00615884677644	0.240915966931	0.699055180426	0.0538699721896
m	0.00496757354548	0.0888417993103	0.823051716809	0.0831389317299
è	0.00174868075589	0.0339314921034	0.920721578936	0.04359830611
n	0.000609871869363	0.0122067507678	0.898642142979	0.0885412932367
a	0.00288545395312	0.00601074978927	0.60488223766	0.386221591079
</S>	0.00542831947656	0.00498570709464	0.37159780383	0.61798817054
