 	prima	di	andare	alla	scuola	</S>
p	0.994393795	0.004891411365	0.0006146592087	6.0214807405e-05	3.668988425e-05	3.24880513e-06
r	0.982550968333	0.0165405747883	0.000802645116233	6.1211067735e-05	4.146137275e-05	3.17903175667e-06
ì	0.673453489444	0.321688369263	0.00465677108541	3.3860065845e-05	0.00015271563225	1.48424724656e-05
m	0.255658021148	0.708762629754	0.0350654946951	0.000171094959948	0.00029792788075	4.48490748219e-05
a	0.118673461716	0.728001429918	0.151419396232	0.00125548258665	0.00037161634025	0.000278638711607
n	0.0687982047387	0.577021196639	0.343398232077	0.00882224869555	0.00146595774675	0.000494196420536
a	0.0258557403129	0.36429117888	0.593261794026	0.0143977095652	0.00178468771558	0.000408950940179
p	0.0093397654843	0.167124559627	0.748498464675	0.0568058235217	0.00804600890519	0.0101854461467
à	0.00333668026477	0.0797472855423	0.821078241558	0.0716765571739	0.0106526411351	0.0135086724022
i	0.0240499843783	0.0387927781808	0.615998050519	0.305421311725	0.0073817152117	0.00835624515407
s	0.0311096899261	0.0155760551269	0.394983133506	0.484033587242	0.0573682217372	0.0169293773847
t	0.0106927113154	0.0062881584523	0.315693005169	0.328916562414	0.280452757246	0.0579568457949
i	0.00387802744513	0.0022840251841	0.138308249056	0.371579237471	0.401116599082	0.0828338719316
s	0.00152678305171	0.0010108795847	0.0944926196853	0.359541794157	0.456560399694	0.0868675473105
k	0.000722683753903	0.000558427746567	0.0780680042284	0.206746436386	0.553738649898	0.160165812437
ò	0.000513002627968	0.000255411415856	0.0491598164095	0.159512492129	0.605289179966	0.185270117479
l	0.000276996020323	0.000138125819619	0.0379208514698	0.341257687376	0.513745836655	0.10666052716
a	0.00234457284111	0.000125089792206	0.0228449933433	0.365053612125	0.306241775552	0.30338998372
</S>	0.00452406257055	0.000152885826103	0.0115934429517	0.186560980562	0.253637837776	0.54353084186
